33488535
/m/0h93zly
/m/0h93zly
Farley Mowat
1987

160 1
186 1
a 4
accepted 1
advice 1
africa 2
african 1
against 1
also 1
although 1
an 2
and 5
anthropologist 2
at 2
attempt 1
became 1
become 2
been 1
book 1
by 2
camp 1
cause 1
central 1
character 1
children 1
contempt 1
crusade 1
death 1
december 1
decided 1
decision 1
defined 1
delve 1
depth 1
dian 1
disgruntled 1
disguise 1
does 1
encouraged 1
family 1
famous 2
field 1
first 2
following 1
for 1
fossey 1
friends 1
gained 1
goodall 1
gorillas 3
hand 1
hatred 1
have 2
her 8
hired 1
hospital 1
however 1
hunters 1
illustrates 1
in 8
interested 1
interview 1
into 1
it 1
jane 1
kill 1
leakey 1
led 1
louis 1
made 2
may 2
mountain 2
mowat 2
murdered 1
no 1
not 1
of 4
opposed 1
outspoken 1
passionately 1
path 1
people 1
poacher 1
poachers 1
preserve 1
preserving 1
says 1
scientist 1
seemed 1
she 7
soon 1
speculates 1
states 1
strength 1
study 1
subject 1
successful 1
that 4
the 11
this 2
to 7
united 1
until 1
was 2
who 1
wishes 1
with 1
woman 1
worked 1
would 1
