15135800
/m/03hjp6n
/m/03hjp6n
Adam Zamoyski
2004-08-03
1801 1
1812 1
30nbspc 1
500000 1
a 7
affairs 1
after 3
agonizing 1
alexander 2
ally 3
and 11
annexing 1
annihilated 1
army 1
around 1
as 2
at 3
attempt 1
attempting 1
austria 1
back 2
battle 1
battles 1
become 1
began 2
being 1
berezina 1
blockade 2
britain 1
by 4
caused 2
city 2
cold 1
commanders 1
conquered 1
constant 1
continental 1
cooperate 1
countries 3
create 1
crossing 1
decided 2
denghien 1
deserted 1
desertion 1
desiring 1
destroy 1
detest 1
did 1
disastrous 1
disease 1
disrupting 1
domination 1
down 1
duke 1
east 1
enormous 1
europe 2
even 1
events 1
eventually 1
execution 1
exhaustion 1
extent 1
failed 1
figure 1
finally 1
fire 1
food 1
force 1
france 3
french 2
frenchgoverned 1
friends 1
get 1
great 1
harassment 1
hate 1
he 4
her 2
his 3
however 1
i 1
in 7
invade 1
invaded 1
it 1
june 1
kingdom 2
lack 1
large 1
long 1
losses 2
made 1
making 1
managed 1
many 1
march 1
marking 1
military 1
monarchs 1
more 1
moscow 2
napoleon 7
of 6
on 4
only 2
order 2
orders 1
placing 1
point 1
political 1
prominent 1
prussia 1
relatives 1
resisted 1
river 1
russia 3
russian 2
russians 1
same 1
scorched 1
see 1
set 1
soldiers 1
spain 1
staying 1
still 1
subdue 1
succeeded 1
suffering 2
than 1
the 15
their 2
themselves 1
then 1
those 1
thus 1
time 1
to 14
too 1
towards 1
troops 1
turning 1
two 1
tzar 2
united 2
very 1
via 1
wage 1
war 2
was 2
way 1
when 1
winning 1
with 2
world 2
