6763409
/m/0gmq1r
/m/0gmq1r
Walter Moers
1999
1 1
10 2
11 1
12 1
13 1
1600h 3
2 1
2364th 2
3 1
300 1
4 1
5 1
50 1
6 1
7 2
8 1
a 64
abdullah 2
aboard 3
about 1
absorb 1
absorbed 1
academy 3
accidentally 1
according 1
across 1
acting 1
addictive 1
adopt 1
adventures 1
after 3
afterwards 1
again 3
against 1
aged 1
agile 1
aging 1
aid 1
all 4
almost 2
alpine 2
already 1
always 1
an 10
anagrom 2
and 55
annelid 1
annihilates 1
annoying 1
another 3
anticipation 1
anything 1
appetite 1
apprentice 1
approaches 1
are 6
army 1
arrival 2
arrives 1
as 12
ashore 1
asked 1
asleep 1
assisting 1
astray 1
at 6
ataf 2
atlantean 1
atlantis 7
attached 1
attempts 2
audience 1
avoid 1
await 1
away 1
babbling 1
baby 1
back 4
backwards 1
bacteria 3
bad 1
barbaric 1
battle 2
battling 1
be 5
bear 6
because 1
become 1
becomes 4
becoming 1
before 4
befriended 1
begins 3
behind 1
being 3
below 1
beneath 1
best 1
betrays 1
billows 1
black 1
blue 1
bluebear 57
board 1
body 2
bollogg 1
book 1
boss 1
brain 1
brazilian 1
builds 1
but 9
by 14
called 1
came 1
can 1
capital 1
captain 1
care 1
carnivorous 1
carpet 1
catch 1
caught 1
cavern 1
caves 1
celebrity 1
center 1
chain 1
challenger 1
charm 1
chemluth 2
chromobear 1
chromobears 1
city 7
closer 1
cloud 2
coloured 1
come 2
comes 2
company 2
composer 2
conditions 1
confusion 1
congladiating 1
congladiator 1
constantly 1
construct 1
continent 1
contrary 1
count 1
coveted 1
craft 1
craving 1
created 1
creature 4
creatures 1
crew 5
crude 1
crush 1
crying 2
curiously 1
cyclops 2
daring 1
darkness 2
debating 1
decide 1
decides 3
defends 1
defines 1
delicious 1
demara 1
demon 1
denizens 1
depositing 1
deposits 3
desert 2
desire 1
details 2
deus 1
develops 1
devoured 1
different 1
dig 1
dimension 3
dimensional 6
diminutive 1
discarded 1
discovers 5
discovery 1
displays 1
dissolved 1
distance 1
does 1
domesticated 1
dreaded 1
dream 3
dreaming 1
drowning 1
due 2
duel 1
during 2
dwarf 1
each 1
earth 1
earwax 1
ease 1
eaten 2
eats 2
eighty 1
elderly 1
elects 1
element 2
elevated 1
emotions 1
encounters 1
encyclopedia 2
end 2
ends 1
ensnares 1
entered 1
entering 2
enters 1
entrance 1
epic 1
escape 3
escapes 1
escort 1
esidarap 1
events 1
eventually 3
every 2
everyone 1
exchange 1
exclusively 1
eye 1
face 1
fakhir 1
falling 2
falls 2
fantastic 2
farm 1
fastest 1
fatoms 1
fattens 2
favor 1
feed 1
feels 1
feet 1
fell 1
fictitious 1
fight 1
filled 1
final 1
find 1
finding 1
finds 2
first 2
five 1
flees 1
flies 2
floating 1
flux 1
flying 2
foods 1
foodstuffs 1
for 11
forest 4
forgetfulness 1
fortuitous 2
found 1
fredda 4
frees 2
friend 3
from 9
fur 1
further 1
futile 1
future 1
gargantuan 1
gelatine 1
genff 1
ghostlike 1
giant 5
gives 2
glasses 1
gleaming 1
gnomelet 1
goodluck 1
gourmet 1
