6098647
/m/0fq134
/m/0fq134
Samantha Weinberg
2006-11-02
{"/m/06wkf": "Spy fiction"}
a 8
adventure 1
adventures 1
affair 1
alone 1
an 1
and 3
another 1
at 1
been 1
beloved 1
bond 2
book 1
brainwashed 1
breathless 1
but 2
by 2
calm 1
can 1
chaos 1
cold 1
collected 1
cool 1
covers 1
crisis 1
dangerous 1
dark 1
defected 1
diaries 1
diary 1
different 1
embroiled 1
espionage 1
explosive 1
family 1
finds 1
for 1
from 1
game 1
glamour 1
grip 1
has 2
haunted 1
her 2
herself 1
highlycharged 1
image 1
in 3
infused 1
intelligence 1
intimacy 1
is 3
james 2
jane 1
kgb 1
last 1
love 1
may 1
mission 1
moneypenny 2
moscow 1
needs 1
of 3
officer 1
on 2
one 1
only 1
passions 1
private 2
project 1
rather 1
reveal 1
righthand 1
russian 1
save 1
saving 1
secret 4
senior 1
service 1
she 2
soon 1
spies 1
story 1
the 7
them 1
thing 1
this 1
to 3
touch 1
treason 1
trial 1
truly 1
turns 1
uncertain 1
war 1
with 2
woman 2
work 1
writing 1
