3233299
/m/0904gc
/m/0904gc
Rosemary Sutcliff
1957
3rdcentury 1
a 6
after 1
against 2
aide 1
allectus 3
already 1
although 1
an 1
ancestor 1
and 11
appearance 1
aquila 1
are 6
army 1
asclepiodotus 1
assemble 1
at 1
attempt 2
away 1
back 1
banner 1
become 1
been 1
behalf 1
betrayed 1
book 1
both 1
britain 4
buried 1
but 3
by 6
call 1
calleva 1
capital 1
carausius 3
commander 1
connected 1
constantius 2
continue 1
convinces 1
cousin 1
cousins 2
cruel 1
danger 2
defends 1
derided 1
desertion 1
despite 1
discover 1
disenchanted 1
disgrace 1
dolphin 1
eagle 2
edicts 1
efforts 1
emperor 2
end 1
entitles 1
evicatos 1
faced 1
family 1
fast 1
fight 1
fighting 1
finally 1
finance 1
find 1
first 1
flavius 2
for 5
force 1
friends 1
from 2
gaul 1
go 1
grandaunt 1
group 1
has 2
he 3
help 2
helpless 1
helps 1
hiding 2
himself 1
his 6
honoria 1
in 5
inhabitants 1
instead 1
into 1
is 6
isle 1
it 1
justin 2
late 1
leader 1
legion 2
looks 1
lost 2
luck 1
main 1
maximian 1
meet 1
meets 1
men 1
military 1
minister 1
misrule 1
motifs 1
much 1
must 1
named 1
naval 1
new 1
northern 2
of 11
on 1
or 1
over 1
overhearing 1
pardoned 1
people 2
place 1
plot 1
posted 1
praised 1
prepared 1
prospect 1
protecting 1
punishment 1
put 1
race 1
ragtag 1
real 1
rebel 1
rebelled 1
rebellion 1
recognition 1
recognized 1
reoccur 1
reposted 1
ring 1
roman 3
rome 2
ruler 1
sail 1
series 1
set 1
shabby 1
shy 1
signet 1
smuggling 1
spear 1
standard 2
story 1
surgeon 1
take 1
temporarily 1
that 2
the 22
their 8
them 2
themselves 1
then 1
there 1
they 5
this 1
time 1
to 11
too 1
try 1
two 2
upon 1
victories 1
wall 1
warn 2
was 1
way 1
when 3
which 1
who 2
with 4
work 1
years 1
young 2
