23837356
/m/06_vwp_
/m/06_vwp_
Jonathan Stroud
2009
{"/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 15
accept 1
actions 1
adores 1
advantage 1
after 1
all 2
alone 1
along 3
an 3
and 25
angry 1
arbiter 2
are 5
arnkel 2
arrives 1
as 2
astrid 1
attack 2
attacked 1
attackers 1
aud 3
avenge 1
avenging 1
battle 2
be 2
becomes 2
being 1
besieged 1
blood 1
bloodthirsty 1
border 1
borders 1
born 1
boundaries 2
boy 1
brodir 2
brother 1
buried 1
but 1
by 6
cairn 2
cairns 1
can 3
chance 1
charge 1
check 1
child 2
clear 1
come 2
could 3
council 1
crosses 1
crush 1
dangerous 1
daring 1
days 2
dead 1
death 1
deaths 1
defenseless 1
demand 1
devastate 1
disappointment 1
discourage 1
discover 1
distrusting 1
does 1
eaten 1
eating 1
enemies 1
enemy 2
enter 1
equality 1
even 1
eventually 1
face 1
family 4
far 1
farming 1
father 1
fearful 1
fellow 1
fend 1
feud 1
fight 2
fighting 1
finally 2
for 6
form 1
friend 1
from 4
get 1
great 1
guard 1
gudny 1
guilt 1
guiltless 1
hakon 2
hakonssons 1
halli 9
happened 1
has 1
have 3
he 19
headstrong 1
hear 1
help 1
hero 2
heroes 5
heroics 1
him 1
his 23
home 1
hope 1
house 6
however 1
identity 1
if 1
immediately 1
in 6
including 1
interference 1
is 10
isnt 1
it 1
join 1
joke 1
journey 1
land 2
large 2
last 2
later 1
lawgiver 1
lead 1
leader 1
leads 2
leave 1
legend 1
legends 1
lief 1
like 2
line 1
long 1
longs 2
looks 1
loves 1
lucky 1
main 1
man 2
many 1
member 1
men 1
monsters 3
moorlands 1
morning 1
mother 1
much 2
murdered 1
murderer 1
nature 1
night 2
no 2
now 2
obliviously 1
obvious 1
of 19
off 2
old 2
older 1
on 3
one 1
only 2
other 1
outlawed 1
over 1
own 2
past 2
peace 1
people 2
place 1
plan 1
positions 1
practical 1
proves 1
quest 2
realizes 2
rekindles 1
relief 1
relieved 1
responsibility 1
returns 1
revenge 1
rival 1
rock 3
ruled 1
ruthless 1
say 1
see 1
seem 1
seems 1
sees 1
sets 1
short 1
sick 1
sister 1
so 2
something 1
stand 1
starts 1
stories 1
story 1
stout 1
survive 1
svien 3
swords 3
take 4
taken 1
than 1
that 8
the 47
their 3
they 8
thing 1
thinks 1
third 1
thirst 1
this 1
thought 1
to 16
together 1
told 1
trow 1
trows 8
twelve 1
two 1
uncle 4
under 2
unknown 1
up 1
valley 5
very 2
village 1
villagers 1
wait 2
wanted 1
wars 1
was 1
weapons 1
what 3
when 7
where 1
which 2
who 4
whom 1
wild 1
will 2
win 1
with 5
women 1
works 1
worse 1
years 1
yet 1
young 1
