8651765
/m/027cm4h
/m/027cm4h
Gary Shteyngart
2002
0s 1
13 1
20000 1
25th 1
800hour 1
a 23
able 1
absorption 1
actress 1
after 1
agrees 1
airport 2
aleksander 1
allowing 1
america 1
american 1
an 9
and 19
apartment 1
approached 1
arrives 1
as 9
asks 1
assistance 1
at 1
attempts 1
attended 1
attention 1
back 3
baobab 6
be 1
beat 1
becomes 1
begins 2
being 1
birthday 1
book 1
borrow 1
boss 2
boy 1
business 2
but 2
by 4
can 1
carries 1
cartel 1
catalan 1
ceremony 1
challah 1
citizen 1
citizenship 1
city 3
cleveland 1
college 1
comes 2
compensation 1
conscious 1
create 1
dating 2
days 1
dealings 1
deception 1
degree 1
despite 1
disappointment 1
dismisses 1
dominatrix 1
drinking 1
drug 1
due 1
dull 1
eastern 1
electric 1
emma 1
encouraging 1
english 1
enjoys 1
escape 1
establishes 1
european 1
expatriate 1
false 2
family 3
fan 2
father 1
favored 1
figure 3
film 1
finds 2
first 1
flees 1
flight 1
for 9
forced 1
francesca 3
frantisek 2
friend 3
from 10
full 1
gentile 1
get 1
girl 1
girlfriend 2
girshkin 1
goes 2
going 2
groundhog 5
happily 1
has 1
have 1
he 11
help 3
helps 1
her 2
him 3
himself 6
his 9
hospital 1
ill 1
immediately 1
immigrant 3
important 2
in 13
inability 1
including 1
informs 2
inserts 1
interview 1
into 1
introduces 1
investments 1
involved 1
is 10
its 1
jew 1
jewish 1
jordi 3
kill 1
knowledge 1
lazarus 1
lengthy 1
limited 1
lives 1
living 1
mafia 1
make 1
man 3
means 1
measly 1
meets 1
mentally 1
miami 2
misnomer 1
money 1
months 1
more 1
morgan 3
most 1
moved 1
mr 3
named 3
naturalization 1
new 3
night 1
north 1
not 1
novel 2
obtained 1
obtaining 1
of 11
offers 1
old 2
on 3
once 1
one 1
opens 1
operating 1
out 2
over 1
overweight 1
painfully 1
parents 2
paris 1
plans 1
ponzi 1
population 2
portraying 1
posing 1
prague 1
prava 4
pravainvest 2
prestigious 1
presumably 1
protagonist 1
proves 1
punishes 1
pursuit 1
pyramid 1
quickly 2
quite 2
readily 1
real 1
redhead 1
referred 1
refers 1
resourceful 1
routine 1
runs 1
russia 1
russian 1
rybakov 5
safely 1
scam 1
scene 1
scheme 2
secure 1
secures 1
seem 1
several 1
sex 1
shares 1
significant 1
skinheads 1
slipup 1
social 1
society 2
something 1
son 2
spends 1
stage 1
states 1
stretches 1
student 1
students 1
substantial 1
such 3
taking 1
terror 1
that 5
the 30
then 1
there 1
thereafter 1
these 1
things 1
this 1
to 20
treats 1
under 1
united 1
university 1
unknown 1
upset 1
us 1
using 1
vladimir 24
was 1
way 1
wealthy 2
well 1
when 1
where 2
whisked 1
who 5
whose 1
with 10
woman 1
works 2
would 1
york 3
young 2
