5916209
/m/0fdcvs
/m/0fdcvs
Victor Kelleher
1986
a 10
aboriginal 1
about 1
act 1
activity 1
after 2
again 2
all 1
allows 1
almost 1
also 1
although 1
ambush 2
an 3
and 17
animals 3
another 2
are 2
as 3
attack 1
attacked 1
attract 1
avoid 1
bait 1
be 1
beating 1
before 1
begins 1
ben 21
big 1
bike 1
blue 1
book 1
break 3
breaks 1
burn 1
but 3
by 9
cage 1
call 5
callous 1
calls 1
can 1
captured 1
cats 2
charge 1
chased 1
city 1
closer 1
coming 1
community 1
comply 1
convinces 1
cornered 1
could 1
creature 1
cut 1
date 1
day 2
days 1
death 1
decide 1
decides 1
destination 1
discovers 1
disguise 1
divulges 1
does 2
dog 2
draws 1
during 1
earns 1
ellie 5
escape 1
escapes 1
except 1
faces 1
feels 1
fence 1
ferocious 1
fight 1
finally 1
find 1
first 1
followed 1
foot 1
for 4
free 2
freedom 1
from 2
game 1
gang 10
girl 1
give 1
gives 1
greg 2
ground 1
guarded 1
guilty 1
hates 1
he 23
head 1
hears 1
help 1
her 1
him 2
his 4
hole 1
horseback 1
houses 1
hunting 1
ideal 1
if 1
in 4
inside 1
instead 1
into 2
is 11
it 2
itself 1
ivy 1
joined 1
keeps 1
last 1
later 1
leader 2
leading 1
less 1
lets 1
lived 1
lives 1
local 1
longer 1
makes 1
male 1
man 2
mind 1
molly 3
mountain 1
mountains 1
named 1
next 1
no 1
not 3
occupy 1
of 6
on 3
once 2
only 1
opportunity 1
originally 1
other 1
out 1
outer 1
parents 1
park 1
physical 1
plan 1
plans 1
playful 1
powers 1
predators 1
promise 2
promises 1
proves 1
pursued 1
quickly 1
raja 5
ranee 2
reaches 1
realizes 1
restricting 1
return 1
rival 1
roads 1
round 1
ruthless 1
sacrifices 1
saved 1
sees 1
selfish 1
set 2
she 2
so 1
something 1
soon 1
stay 1
still 2
stray 1
survivors 2
swat 1
swears 1
sydney 4
takes 2
taronga 6
than 1
that 6
the 32
their 2
them 1
then 2
they 2
this 1
tiger 1
tigers 2
to 22
towards 1
travel 1
travels 1
tries 1
trust 1
two 2
up 2
use 3
uses 1
using 1
wants 1
week 1
what 1
when 5
where 1
which 2
who 4
wild 2
will 1
wishes 1
with 3
years 1
zoo 5
