5968846
/m/0fh7f3
/m/0fh7f3
Mercedes Lackey
1989
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 17
abilities 1
about 2
age 1
all 1
along 1
an 3
and 18
anything 1
appearance 1
are 1
around 1
arrive 1
arrogant 1
as 6
ashkevron 1
assassinated 1
assistance 1
assisting 1
at 2
attempts 1
aunt 3
away 1
backlash 1
bard 1
bardic 1
be 3
because 1
become 2
becomes 1
before 1
begins 1
being 2
beings 1
believes 1
blaming 1
bond 1
brother 2
but 7
by 4
can 1
cannot 1
capital 1
care 1
casts 1
chosen 1
colddrake 1
combination 1
comforted 1
commits 1
companion 2
complicated 1
continues 1
control 2
convince 1
coward 1
cowardly 1
creatures 1
cry 1
cultivating 1
damage 1
deadly 1
death 2
deems 1
defeats 1
depressed 1
described 1
develops 1
devoted 1
die 1
dies 1
discovers 1
do 1
does 3
dormant 2
dragon 3
dream 1
elderly 1
elegant 1
emotional 1
ends 1
enemy 3
energies 1
environment 1
estate 1
even 1
explain 1
family 3
father 1
feeling 1
feelings 1
find 2
finds 1
first 1
for 6
forst 1
frelennye 1
friendship 1
from 2
fullfledged 1
gala 2
gate 1
gates 1
gay 1
gift 1
give 1
gives 1
goes 1
great 1
grief 1
halflearned 1
happy 1
has 3
have 2
haven 2
he 26
heir 1
help 1
her 1
herald 1
heraldmage 1
heralds 3
herself 1
him 9
himself 3
his 13
homosexual 1
horselike 1
how 1
human 1
immersed 1
impression 1
in 6
intelligent 1
interest 1
introduces 1
is 16
just 1
kill 1
killing 1
kills 1
ktreva 2
later 2
learns 1
lifebonded 1
little 1
live 1
lord 1
lost 1
love 2
lovers 1
mad 2
mage 1
magic 4
man 2
massacre 1
measure 1
members 1
more 1
moves 1
music 1
nature 1
needs 1
newly 1
no 1
normal 1
not 8
of 9
one 2
open 1
opened 1
or 4
others 1
over 1
overcoming 1
overhears 1
people 1
potential 1
powers 3
presents 1
proper 1
protgs 1
psychic 2
pulls 1
reach 1
reactions 1
real 1
realizes 3
realizing 1
reassures 1
receives 1
recovering 1
repudiates 1
rescued 1
return 2
revenge 1
robes 1
runs 1
sacrificing 1
savil 5
school 1
schooling 1
see 1
seeks 1
sends 1
senses 1
shayachern 1
she 1
shown 1
sinful 1
sixteen 1
soulmates 1
special 1
spell 2
staven 1
stop 1
strategy 1
suffering 1
suicide 2
suited 1
summoning 1
supervision 1
supporting 1
suspects 1
takes 1
tayledras 3
teach 1
teachers 1
tears 1
telepathic 1
telepathically 1
terrorized 1
that 12
the 24
them 1
they 4
things 1
think 1
thinks 1
though 1
thought 1
thoughts 1
time 2
timing 1
to 21
together 1
told 1
trauma 1
true 1
truly 1
twin 1
tylendel 13
type 1
unable 1
under 1
understanding 1
unfortunate 1
up 2
using 1
valdemar 1
value 1
vanyel 19
village 2
wakes 1
want 1
was 1
well 1
were 1
what 1
when 2
white 1
who 2
will 2
with 7
withen 3
witnesses 1
wizard 2
worth 1
wrong 1
wyrsa 1
yfandes 1
