4183785
/m/0bnqym
/m/0bnqym
Sean Stewart

a 18
about 2
accompanied 2
across 1
actor 1
after 1
aimed 1
allowing 1
almost 1
an 1
anakin 1
and 20
answering 1
apparent 1
apprentice 1
approaching 1
are 2
aristocratic 1
arrival 1
as 5
asajj 1
assistant 2
at 2
attack 1
attention 1
awaits 1
battle 2
before 2
began 1
behalf 1
bloodbath 1
blow 1
bluff 1
both 1
brave 1
bumbling 1
but 1
by 6
captured 1
captures 1
catches 1
ceasefire 1
chance 2
childhood 1
chteau 2
chuff 6
clan 1
clone 1
come 1
comes 1
concedes 1
conferring 1
contracts 1
convinced 1
coruscant 1
council 2
count 2
dangerous 1
dark 2
darth 1
death 1
debate 1
decides 1
decoy 1
different 1
discovers 1
disguised 2
dispatched 1
disruptions 1
diverts 1
does 1
dooku 15
droid 1
droids 2
duo 1
during 1
encourages 1
end 2
engage 1
ensues 1
enwandungesterhazy 1
escape 3
even 2
everyone 1
fact 1
faithful 1
fall 1
falling 1
false 1
family 1
famous 1
far 2
feint 2
fellow 1
felt 1
fight 1
fighter 1
follow 1
followup 1
for 3
force 2
forced 2
forever 1
former 1
from 5
galaxy 1
gets 1
goes 1
gotten 1
grand 1
group 1
had 1
hand 1
hands 1
has 1
have 2
he 2
her 1
him 4
himself 1
his 5
honest 1
house 2
housewoman 1
however 1
identities 1
if 1
impersonating 1
impersonator 1
in 10
indeed 1
inevitably 1
informs 1
insane 1
into 1
invites 1
is 7
it 1
ithor 1
jai 2
jealousy 1
jedi 8
journey 1
judges 1
keep 1
kenobi 1
kill 1
lady 1
land 1
layover 1
leader 1
leaping 1
leave 1
leaves 1
leem 2
legendary 1
lightsaber 3
long 1
loss 1
mace 1
make 1
maks 2
malreaux 3
manor 1
mansion 1
maruk 2
master 1
masters 3
meanwhile 2
meet 2
meeting 1
meets 1
message 2
minion 1
missile 2
mission 1
morale 1
mother 1
mysterious 1
new 1
not 1
obiwan 1
of 15
off 2
on 7
one 1
or 1
order 1
organize 1
other 1
out 2
outweighs 1
overcome 1
padawans 4
palleus 1
palpatine 1
parry 1
perils 1
planet 2
play 1
political 1
principally 1
public 1
pull 1
quintet 1
r2 1
raged 1
receives 1
recovers 1
refugee 1
reminiscence 1
replacements 1
republic 1
rescue 1
reveals 1
sad 1
save 1
scout 1
secretly 1
seeks 1
senate 1
send 1
separate 1
separatist 1
shaking 1
she 2
short 1
side 2
sidious 1
since 1
skywalker 1
slips 1
slowly 1
soon 1
space 1
spaceport 1
stops 1
summons 1
switch 1
tallisibeth 1
tells 1
temple 1
tense 1
terrible 1
that 5
the 52
their 3
then 1
there 1
they 3
things 1
though 1
three 1
throws 1
time 2
to 22
tow 1
towards 1
trap 1
travelling 1
truce 1
turned 1
two 2
type 1
unaware 1
under 1
underachieving 1
unfazed 1
unfortunately 1
unit 1
unleashes 1
ventress 7
verge 1
very 1
vjun 6
waned 1
war 1
wars 1
was 1
way 1
ways 1
were 1
what 1
when 3
where 1
whie 3
while 2
whirry 2
who 1
window 2
windu 1
with 5
would 1
wounds 1
years 1
yield 1
yoda 20
young 1
