23236842
/m/06618d6
/m/06618d6
Michael Buckley
2009-05
{"/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy"}
a 16
accidentally 2
after 2
again 1
agrees 1
an 1
and 17
are 2
army 2
asks 1
attacked 1
awake 1
baby 3
be 3
beauty 1
become 1
been 1
before 1
big 1
body 1
book 1
born 1
bought 1
briar 3
brother 2
but 1
by 4
camp 2
can 2
care 1
charming 3
city 1
contains 1
could 1
creature 1
daphne 4
daughters 1
decides 1
defeat 1
dies 1
disconnect 1
discover 3
discovers 1
door 1
dragons 2
due 1
eavesdrop 1
end 1
engagement 1
enter 1
everafter 1
everyone 2
exception 1
explains 1
familiarity 1
family 1
father 2
ferryport 1
fight 3
fighting 1
follow 2
for 2
forces 1
forcing 1
fort 1
friend 1
from 3
future 1
get 3
girls 4
goes 2
goldilocks 1
goose 1
got 1
granny 1
grim 1
grimm 3
grimms 1
group 1
grow 1
grown 1
hall 5
hand 4
hard 1
has 1
have 3
he 7
headed 1
hed 1
help 1
henry 3
him 1
himself 1
his 4
house 2
how 1
however 1
in 10
into 6
is 7
it 2
jake 3
just 1
killed 1
kisses 1
knocked 1
knowing 1
land 1
landing 1
lead 1
leave 1
leaves 1
left 1
let 1
loose 1
love 1
magic 2
magical 1
man 1
marionettes 2
married 1
master 1
medical 1
mirror 4
mirrors 1
mother 1
needs 1
nevertheless 1
new 1
not 1
number 2
of 11
only 2
open 1
opened 2
out 2
oz 1
pack 1
person 1
pinocchio 3
pregnant 1
promised 1
puck 3
put 1
ready 1
real 1
realize 1
realizing 2
rebel 1
reflections 1
remembering 1
rescued 1
rescuing 1
retreats 1
return 1
reveals 1
rewrite 1
ring 1
room 2
rooms 1
rosesleeping 1
running 1
sabrina 6
scarlet 4
secret 1
sends 1
sent 1
separated 1
sets 1
she 1
shoots 1
shoulder 1
side 1
sleeping 2
spell 2
spy 2
stolen 1
story 1
suffers 1
surrounds 1
take 2
taking 1
that 5
the 35
their 4
them 2
then 1
they 7
though 1
time 2
to 17
trap 1
turns 2
uncle 3
uncomfortable 1
under 1
up 3
use 1
various 1
very 1
wants 1
was 5
weapons 1
what 1
when 1
where 1
which 1
who 1
whom 1
with 3
wonders 5
york 1
