140648
/m/011k8y
/m/011k8y
Douglas Adams
1988-10-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/06mq7": "Science", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/01z4y": "Comedy", "/m/02yq81": "Comic novel", "/m/02xlf": "Fiction"}
a 3
able 1
about 1
accidentally 1
advantage 1
adverts 2
after 1
airport 1
all 1
and 7
angry 1
anstey 2
are 2
at 2
because 1
become 1
bid 1
book 2
but 1
by 2
central 1
characteristics 1
chief 1
confronts 1
contact 1
contract 2
created 1
cynthia 1
death 1
delay 1
desire 1
destitute 1
dirk 5
disappear 1
dont 1
draycott 1
draycotts 3
drink 2
eagle 1
early 1
earth 1
end 1
entering 1
exists 1
fighter 1
finally 1
finding 1
fly 1
for 2
forever 1
fridge 2
from 3
generates 1
gets 1
getting 2
god 1
gods 4
green 1
guilt 1
guiltabout 1
hammer 1
have 1
he 3
him 3
his 1
how 1
humans 1
implied 1
in 5
inability 1
involve 1
is 9
it 1
jet 1
like 2
literally 1
makes 2
man 1
many 1
monster 1
naive 1
necessity 1
needs 1
new 1
nobody 1
norway 4
novel 3
objects 1
odin 3
of 9
on 1
once 1
one 3
opening 1
our 1
own 1
pancras 1
parallel 1
premise 1
preventing 1
promoting 1
protected 1
pursues 1
quite 1
rag 1
railway 1
remain 1
retrieving 1
seeing 1
seemingly 1
seen 1
should 1
soft 1
son 1
st 1
station 1
stop 1
stops 1
take 1
that 3
the 22
them 2
these 1
this 2
thor 4
to 8
toe 1
tramps 1
transformed 1
transmogrify 1
tries 1
unworldly 1
using 1
valhalla 2
various 1
visit 1
when 2
where 1
which 1
whom 2
why 1
with 2
witnesses 1
world 1
worshipped 1
worships 1
