17592509
/m/04645v4
/m/04645v4
Jacqueline Wilson

{"/m/0dwly": "Children's literature"}
10 1
13 1
8 1
a 22
able 1
about 4
ad 2
admires 1
after 1
again 1
all 1
almost 1
also 5
although 2
an 4
and 33
another 1
anything 1
appear 1
are 5
as 11
at 12
attempts 1
baby 2
back 1
bad 1
badger 3
badgers 1
badgerwatching 1
bathroom 1
be 4
because 9
become 1
becomes 2
been 3
before 1
begins 1
behaviour 2
being 3
belongs 1
big 1
black 1
boisterous 1
bonfire 1
book 3
books 1
both 1
boy 1
boys 6
breaks 1
bullied 1
bullying 1
bungalow 1
but 3
by 1
call 2
can 1
care 1
caretaker 1
causing 1
children 3
claim 1
clarissa 1
classmates 2
cleaner 1
climbs 1
colgate 1
college 4
come 1
comes 3
committed 1
concerned 1
conclusion 1
confronts 1
conjures 1
consequence 1
constant 1
continues 1
cook 1
cruel 1
cub 1
cubs 1
current 1
dan 2
dark 1
daughter 1
death 1
decide 1
demands 1
denies 1
destination 1
devastated 1
did 3
dies 2
different 1
difficult 1
dinner 1
disaster 1
disgusted 1
do 2
does 3
dormitory 2
dress 1
dresses 3
dumps 1
dyes 1
eat 1
education 2
eleven 1
else 1
enjoys 1
even 6
ever 1
every 1
everyone 3
example 1
excellent 1
extremely 1
face 1
fact 1
fairy 1
fall 1
falls 1
family 2
father 1
fawkes 1
few 1
figuratively 1
final 1
finds 1
first 3
five 1
flamboyant 1
flat 1
for 5
french 3
fresh 1
freya 1
friendly 1
friends 2
frightened 1
frightening 1
front 1
furthermore 1
gardener 2
gate 1
gave 1
gets 2
ghost 1
gifts 1
ginger 1
girls 5
give 1
gives 1
giving 1
glad 1
go 1
goes 2
going 1
good 3
group 1
grows 1
grumpy 1
guest 1
guy 1
hair 1
halloween 2
hands 1
hard 1
harley 4
harriet 1
has 4
have 6
having 1
he 1
headmaster 1
her 31
hers 1
his 2
hold 1
holidays 1
home 1
horror 1
however 4
idea 1
ill 1
immediately 1
in 13
incident 1
increasingly 1
interested 1
into 1
introduced 1
invited 1
is 22
it 7
jed 9
jobs 1
jodie 30
joe 1
joining 1
keen 1
keeps 1
know 1
laughs 1
leave 1
lessons 1
life 2
like 1
likes 1
little 5
live 1
lives 1
london 1
look 1
looks 1
love 1
lovely 1
loves 1
make 1
makes 2
manner 1
manuscript 1
many 1
matron 1
may 3
meaning 1
meet 4
melchester 3
members 1
minger 1
mischievous 1
miserable 1
miss 4
more 1
mother 2
motivation 1
move 4
moves 1
mr 1
mrs 3
much 1
nature 2
neck 1
needs 1
never 1
new 2
newspapers 1
night 5
nightmares 1
noisy 1
not 11
occurs 1
of 15
off 2
offered 1
older 2
on 3
once 2
one 3
only 2
open 1
opportunity 2
other 3
out 5
over 1
own 1
parents 1
party 2
pearl 23
people 1
place 1
plays 1
pleasure 1
ponsonby 1
prefers 1
pregnancy 2
presents 1
proper 1
protective 1
pulls 1
pumpkin 1
punishment 1
purple 1
pursued 1
reach 1
read 2
real 1
realizes 1
receive 1
receives 1
refer 1
relationship 1
reputation 1
reside 1
respectively 1
retake 1
reveals 1
romantic 1
romantically 1
runs 1
sakura 2
say 1
says 2
scared 1
scares 1
scaring 1
school 6
schoolwork 1
secretary 1
seem 1
seems 1
sees 1
seniors 1
serious 1
several 2
sharon 2
she 24
sheba 1
shell 1
shy 1
sister 4
sisters 2
so 1
soft 1
some 1
soon 2
spot 1
staff 1
stand 1
start 1
starts 1
states 1
stories 1
story 3
strikes 1
strongly 1
students 1
suicide 1
summer 1
takes 2
tall 1
tart 1
teasing 1
tell 1
tells 4
term 1
terrible 1
test 2
than 1
that 12
the 48
their 6
them 4
then 3
they 14
thinking 1
thinks 1
though 1
three 2
tiffany 1
time 2
to 37
together 1
too 2
torch 1
towards 1
tower 2
tragically 1
tugs 1
turns 1
two 2
uncaring 1
under 1
undie 1
unfortunate 1
up 5
using 1
very 4
victim 1
views 1
want 2
was 2
watch 1
watching 2
well 2
what 1
wheelchairusing 1
when 9
where 2
which 1
while 1
whispering 2
white 2
who 1
whom 2
wife 1
wilberforce 4
wilberforces 1
will 2
window 2
with 9
woman 2
woods 1
worried 1
worse 1
would 1
write 2
wrong 2
year 3
years 1
younger 1
zeph 1
