5319397
/m/0dfbx4
/m/0dfbx4
James Patterson
1995-01-11
{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction", "/m/0d6gr": "Reference", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
14yearold 1
175 1
180s 1
181 1
2nd 1
a 29
about 3
affair 1
after 4
afternoon 1
again 2
agent 1
alex 4
alive 1
all 2
also 1
an 5
and 52
angeles 2
another 1
apartment 1
are 7
area 2
arrests 1
as 4
ask 1
at 6
attack 1
attacked 1
attacks 1
authorities 2
away 2
back 3
bar 1
be 1
because 1
bed 1
been 3
begins 1
being 1
believe 2
believing 1
below 1
beth 4
black 1
boca 1
bond 1
bonus 1
both 4
boy 1
broken 1
brought 1
built 1
but 8
by 3
c 1
call 1
caller 9
calling 1
calls 2
campus 1
car 2
carolina 4
casanova 26
catch 2
catching 1
chapel 1
chest 1
cliff 1
clues 1
coasttocoast 1
comes 1
communicating 1
computer 1
confirms 1
couple 1
craig 2
cross 31
cut 1
davey 2
day 1
dea 1
dead 1
dean 1
death 1
decide 1
decides 1
detective 2
detectives 1
die 1
dies 1
different 2
directions 1
dirt 1
discovers 1
discuss 1
doctor 2
down 3
dr 2
drugged 1
duke 4
durham 3
early 1
editorinchief 1
eight 1
elsewhere 1
escape 1
escapes 1
eventually 1
evidence 1
exchange 1
experiences 1
fbi 6
fight 1
fights 2
files 1
find 3
finding 1
finds 2
fingers 1
fires 1
firing 1
first 4
florida 1
follow 1
following 1
follows 2
for 10
forest 2
formed 1
found 1
four 1
from 7
gentleman 10
gentlemen 1
get 1
gets 3
girl 2
girls 2
given 1
go 2
goes 3
gone 1
grandmother 1
gun 3
gunfire 1
guns 1
had 5
handwritten 1
hangs 1
has 4
have 3
he 18
head 1
heads 2
hear 1
hearing 1
hears 1
held 1
help 1
her 7
hill 1
him 12
himself 1
his 14
historian 1
hits 2
hitting 1
home 1
homicide 1
hospital 1
house 7
if 1
in 24
information 1
informed 1
injured 1
into 3
involved 1
is 29
it 4
jay 1
jogging 1
jumping 1
just 1
kate 12
keeps 1
kept 1
kidnap 1
kill 1
killed 1
killer 2
killers 2
killing 1
kills 2
kiss 1
knife 1
know 1
known 3
knows 2
kyle 4
la 3
later 3
law 1
leads 1
leave 1
leaves 1
lets 1
letters 1
lieberman 2
look 1
looking 1
looks 1
los 2
lowell 2
make 1
man 1
manages 1
map 1
marinol 1
mask 3
masks 1
may 1
means 1
meet 1
meets 1
men 1
mentions 1
met 1
missing 2
mistress 1
mood 1
murdered 3
naomi 3
nearby 1
never 1
new 1
next 2
nic 1
nick 1
niece 1
night 1
north 4
not 5
notes 2
notices 1
noticing 1
of 5
off 4
on 7
one 5
ongoing 1
opposite 1
or 1
other 1
out 5
outside 3
own 2
part 1
partner 1
pharmacist 1
physical 1
physically 1
picture 1
plan 1
plans 1
pointing 1
positive 2
present 1
previously 1
professor 2
prowls 1
published 2
questioning 1
railroad 2
raped 1
raton 1
reads 2
received 1
relatives 1
reminiscing 1
removes 1
reporter 1
reunite 1
reveals 1
river 1
rudolph 11
rules 1
run 1
running 3
runs 3
rushes 1
ruskin 4
sachs 9
same 1
sampson 9
scootchie 1
scream 2
screaming 1
screams 1
searched 2
searching 1
see 1
sees 2
selfdefense 1
serial 3
seriously 1
shared 1
she 6
shoot 1
shoots 1
shoulder 1
sikes 6
sikess 1
sister 1
skelton 1
snoops 1
someone 1
souvenir 1
speak 1
stakeout 1
states 1
steal 1
story 1
strong 1
stuck 1
student 2
students 1
stun 1
sure 2
suspect 2
suspects 1
symbolize 1
take 4
taken 2
takes 6
taking 1
tell 1
telling 1
tells 1
ten 1
that 17
the 52
their 1
them 3
theme 1
then 1
theory 1
there 1
they 11
thinks 2
this 2
threatens 1
time 2
times 1
to 29
together 2
tongue 1
too 1
top 1
traffic 1
tries 1
truck 1
two 7
underground 5
university 1
up 3
very 1
victims 2
visiting 1
waiting 1
walk 1
was 5
watching 1
wearing 1
wears 2
were 1
when 2
where 4
which 2
while 1
who 7
whom 1
wick 1
will 1
william 1
with 7
woman 4
women 2
woods 1
work 1
worked 1
working 1
wounded 1
year 1
young 2
