3207099
/m/08zbch
/m/08zbch
Alan Ayckbourn

a 32
about 5
accepted 1
acclaiming 1
account 1
act 1
acted 1
actually 1
after 1
again 1
ago 1
agrees 1
all 7
allow 1
alone 1
already 2
also 1
although 1
ambulance 2
an 5
and 40
andy 10
angry 1
another 1
anticipating 1
apologise 1
apparent 2
appear 1
appears 3
archbishop 1
are 3
argument 1
around 1
arrive 1
arrives 1
as 13
asked 1
asks 3
at 4
awakes 1
away 1
back 2
banquet 1
be 7
because 1
become 1
becomes 3
bee 2
bees 1
before 3
beginning 1
being 1
beside 1
bill 17
bin 1
blame 1
blames 1
blue 1
book 2
bookie 1
both 1
brat 1
bride 1
brides 1
brilliant 1
bring 1
bringing 1
brings 1
brother 1
bullied 1
burnt 1
but 7
by 11
can 2
cancel 1
caresses 1
cheating 1
check 1
clichd 1
coffee 2
collapses 2
come 3
comes 2
coming 3
communicate 1
complete 1
concern 1
confessing 1
confides 1
confused 1
console 1
conversations 1
conviction 1
courts 2
cow 1
cup 1
daughter 2
daughterinlaw 1
daughters 1
day 2
deadness 1
dear 1
december 3
deluded 1
demanding 1
denies 1
denouncing 1
descends 1
desperate 1
dessert 1
devil 1
didnt 1
died 1
digressing 1
dine 1
discusses 1
distracted 1
divorce 1
do 3
doctor 1
does 1
door 1
dozing 1
dr 1
drawn 1
dressed 1
during 1
easy 2
egged 1
embarrassed 1
ends 1
english 2
enter 2
even 2
everything 1
excuses 1
explain 1
explaining 1
explains 1
faints 1
fair 1
family 3
fantasy 1
fear 1
feels 1
fetch 2
fierce 1
final 2
find 3
finished 1
first 1
flashes 1
fled 1
following 1
for 12
forbids 1
forgives 1
french 1
from 2
garden 5
gerald 17
get 1
getting 2
ghost 1
gibberish 2
girlfriend 1
girlfriends 1
glimpses 1
glosses 1
go 1
gobetween 1
god 1
goes 2
gone 1
groom 1
ground 1
hallucinations 1
has 11
have 1
having 3
he 11
heart 1
heavily 1
her 39
herbs 1
herself 1
him 5
himself 1
hinted 1
his 4
historical 1
history 1
home 1
horrifies 1
horror 1
house 1
how 1
however 2
humour 1
hurt 1
husband 5
ice 1
ignoring 1
im 1
imaginary 4
in 11
increasing 1
indeterminate 1
indignantly 1
influence 1
informs 1
initially 1
insensitively 1
inside 3
insists 1
instant 1
instead 1
into 7
is 19
it 7
its 1
jobs 1
joined 2
joy 1
kinds 1
kiss 1
kisses 1
knickers 1
knocked 1
know 1
lake 2
language 1
late 3
lawn 1
lay 1
learns 1
leave 1
leaves 2
leaving 1
left 2
life 3
light 1
love 1
lovingly 1
lucy 15
lunch 2
maid 1
make 1
makes 1
making 1
man 2
marriage 1
married 4
massive 1
me 1
mean 1
meaning 1
meanness 1
meanwhile 1
members 1
memory 1
mention 1
mesh 1
message 2
met 1
middle 1
misheard 1
mistakes 1
mocks 1
momentarily 1
more 1
most 1
mother 1
mouths 1
moved 1
moving 1
muriel 9
narrowminded 1
naturally 1
nightmare 1
no 2
noone 1
not 4
novelist 1
now 8
nursing 1
octer 1
odd 1
oddjob 1
of 22
off 3
offer 1
offers 1
oh 1
omelette 1
on 10
one 1
only 3
openly 1
opens 1
opportunity 1
or 3
ordered 1
out 5
outdoor 1
over 2
overnight 1
own 2
parents 1
parish 2
part 2
past 1
persuades 1
phantom 1
play 1
pleas 1
poaching 1
pointed 1
points 2
pool 1
possessions 1
praises 1
praising 1
precious 2
pregnancy 1
pregnant 1
prepared 1
previously 1
priggish 1
probably 1
protests 2
public 1
quiet 1
rabbits 1
race 2
rake 2
read 1
real 6
reality 2
really 2
refuses 1
relating 1
remember 1
reminds 1
reminisce 1
request 1
retorts 1
return 1
returned 1
returns 2
reveal 1
rick 12
right 1
room 1
rosebeds 1
runs 1
same 1
says 6
scene 1
scholarship 1
school 1
screaming 1
sect 3
see 1
seems 2
sees 2
sell 1
semifantasy 1
sense 1
serves 1
she 18
shortlived 1
show 1
shred 1
shut 1
sir 1
sisterinlaw 2
sitting 1
snaps 1
snippets 1
so 2
some 1
something 4
son 5
sort 1
speaking 2
speaks 1
speech 2
sprawled 1
squeezy 2
starts 1
status 2
stay 1
stays 1
stewards 1
still 1
stockbroker 1
stockbrokers 1
storm 1
stung 1
such 1
suddenly 1
suggesting 1
suggests 1
sumptuous 1
sunset 1
surgeon 1
surprise 2
surrealistic 1
susan 47
swimming 1
take 1
takes 1
taking 1
talk 1
talking 2
tea 2
tears 1
tease 1
tells 1
tended 1
tending 1
tends 1
tennis 2
thailand 1
that 13
the 38
their 6
them 2
then 5
there 1
therefore 1
they 5
this 5
thrown 1
thunderstorm 1
time 4
tin 1
tiny 1
to 54
toast 1
together 1
tony 7
tonyfresh 1
transpires 1
tries 5
trouble 1
tune 1
two 2
umbrella 1
unreal 1
until 1
up 1
used 1
voices 1
wakes 1
wanting 1
way 2
weakly 1
wedding 2
welfare 1
what 1
wheelerdealer 2
when 13
where 4
whilst 1
who 3
wife 1
will 3
windsor 1
with 13
woken 1
women 1
world 3
worried 1
would 1
writes 1
writing 1
years 1
yet 1
your 1
