60310
/m/0gdfn
/m/0gdfn
Iain Banks
1995
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1yearold 1
2 1
a 16
aasni 1
about 1
according 1
actress 1
after 1
allowed 1
along 1
also 3
although 1
an 2
and 20
antitechnology 1
appears 1
are 1
as 3
ashore 1
asian 1
asis 1
asking 1
asleep 1
at 1
attempt 1
avoid 1
backbussing 1
based 1
because 1
becomes 1
before 3
behind 1
being 1
beliefs 3
believe 1
beloved 1
bid 1
black 1
bland 1
blessed 1
board 2
boring 1
born 1
brother 1
bulk 1
bus 1
buses 1
can 1
cars 1
characters 1
close 1
coded 1
collection 1
comes 1
comfortable 1
commune 1
communication 1
conductor 1
confident 1
confused 1
consists 1
cooked 1
cousin 2
cuisine 1
cult 11
cushioning 1
day 2
decide 1
deprive 1
designated 1
direction 2
discredit 1
elect 2
encountered 1
england 1
enhanced 1
environment 1
every 3
expected 1
feared 1
february 1
feisty 1
festival 2
finds 2
for 4
four 1
free 1
friend 1
from 2
gaiamarie 1
get 1
getting 1
god 2
goes 1
granddaughter 1
grandfather 2
grandmother 1
greataunt 2
had 1
haggis 1
hard 1
harris 1
has 3
have 3
he 2
heir 1
held 1
her 16
herself 2
history 1
home 1
house 1
if 1
iii 1
impossible 1
in 15
includes 1
inconsistent 1
information 1
intention 1
is 5
isis 15
isles 1
its 1
known 1
laborious 1
ladies 1
lapsed 1
leadership 2
leap 1
learn 1
learns 3
lends 1
less 1
lies 1
live 1
lives 1
looking 1
lot 1
love 1
luskentyre 1
luskentyrian 3
luskentyrians 2
married 1
maternal 1
maturity 1
means 1
meets 2
members 1
method 1
mild 1
minerva 1
mirza 1
mission 1
months 1
morag 4
moray 1
more 3
most 1
must 1
never 1
next 1
nine 1
normally 1
not 2
novel 2
now 1
obtuse 1
of 29
off 1
old 1
on 6
opens 1
opposite 1
order 2
origins 1
other 3
otherwise 1
out 2
over 3
pakora 1
part 1
patriarch 1
paying 1
people 1
picture 1
pointed 1
policemen 1
porn 1
power 2
practices 1
puritanical 1
put 2
quest 1
rastas 1
rationale 1
recover 1
reject 1
rejected 1
religious 1
rescues 1
results 1
returning 2
revealed 1
reverend 1
right 1
rings 1
rituals 1
robber 1
rules 1
run 2
salvador 2
saraswati 1
scotland 1
search 1
searching 1
seats 1
seems 1
selfdenying 1
senility 1
set 1
she 8
shortly 1
sinister 1
sitting 1
skinheads 1
somewhat 1
soon 1
sophi 1
sort 1
southern 1
special 1
spiritual 1
staple 1
stirlingshire 1
stop 1
story 2
support 1
take 2
takes 1
technique 1
technology 1
telephone 1
tell 1
tells 2
texan 1
that 7
the 43
their 1
they 2
this 3
those 1
though 1
through 1
ticket 2
to 16
transportation 1
turn 1
two 1
unsaved 1
up 2
use 2
uses 1
using 1
very 2
voyages 1
was 1
washed 1
we 1
western 1
what 1
when 2
whenever 1
while 2
whit 2
white 1
who 2
will 1
with 2
woman 1
work 1
world 1
wretched 1
year 1
years 1
yolanda 1
young 1
zhobelia 4
