12087515
/m/02vpfj4
/m/02vpfj4
Jeffery Deaver
2001-04-03
137 1
2000 1
5 1
a 22
about 3
accepting 1
accidentally 1
accidents 1
accountable 1
acting 1
after 3
again 1
agrees 1
aide 1
allowed 1
allowing 1
along 1
also 1
amelia 1
an 3
analyzing 1
and 36
anesthesia 2
another 1
anyone 1
apparently 1
approached 1
are 10
around 1
arrested 2
arrive 1
as 7
asked 1
asking 1
assaults 1
at 4
attack 1
attacked 1
attempted 1
attempting 1
attempts 1
away 1
back 3
be 5
because 1
become 1
been 4
being 3
believe 1
believed 1
believes 3
bell 5
boy 2
breaks 1
bursts 1
burying 1
business 1
businessman 3
but 2
by 5
c4 1
cancer 1
car 1
case 1
cemetery 1
charges 1
city 1
close 1
closed 1
colleague 1
come 1
companion 1
confides 1
correctly 1
could 2
cousin 1
crash 1
crime 1
criminal 1
cunningly 1
curious 1
dead 2
defend 1
department 2
deputies 4
deputy 3
developed 1
dies 1
disability 1
distraught 1
do 2
does 1
down 1
dropped 1
due 2
earlier 2
earns 1
effects 1
ends 1
engaged 1
entered 1
even 1
eventually 3
evidence 2
experimental 1
family 3
fight 1
find 1
first 1
fit 2
flow 1
follow 1
follows 1
for 3
foster 1
found 1
framed 1
freed 2
from 2
frustrated 1
further 1
garret 15
garrets 1
get 1
getting 1
going 5
grounds 1
group 2
guilty 1
gun 1
gunnuts 1
had 4
happen 2
harmful 1
has 5
have 5
he 16
heart 1
help 2
helped 2
her 7
hidden 2
hideout 2
him 9
hinted 1
his 8
hornets 2
hospital 2
house 2
however 1
hunted 1
hurt 1
hut 1
ill 1
illegal 1
improve 1
in 29
including 1
incredible 1
insect 1
insects 1
inside 1
into 2
involved 1
involves 1
is 35
it 7
jail 3
jim 1
kidnap 1
kidnapped 3
kidnapper 1
killed 4
killing 1
land 1
later 1
legitimately 1
lincoln 2
list 1
listening 1
live 1
local 6
locally 1
love 1
luck 1
luckily 1
lucy 4
lydia 5
lying 1
main 1
major 1
making 1
man 2
manufacturing 1
marybeth 6
may 1
meant 1
meanwhile 1
merely 1
mistress 1
moonshine 1
mother 2
murder 2
murders 3
nest 2
neurosurgery 1
never 1
nicknamed 1
none 1
not 3
notices 1
novel 2
now 2
number 1
numerous 1
nurse 4
nuts 1
nypd 1
of 25
off 1
officer 1
ominously 1
on 6
once 1
oncology 1
one 3
operation 1
or 1
order 2
original 1
orphaned 1
other 1
out 2
outwits 1
overalls 2
oxygen 1
partner 1
people 2
pesticide 5
physical 1
place 2
plea 1
point 1
poisoning 1
police 5
possible 1
postponed 1
prison 1
pursuit 1
put 1
quadriplegic 1
question 1
questions 1
rape 1
reach 1
realizing 1
receive 1
reduced 1
refused 1
regain 1
reluctantly 1
remains 2
remembers 1
reporting 1
requiring 1
rest 2
restrain 1
return 1
revealed 2
reveals 3
reward 1
rhyme 14
risk 1
river 1
ronald 1
run 1
runs 1
sachs 11
safe 1
sample 2
says 1
scenes 1
scheme 1
searched 1
searching 1
see 1
selfdefence 1
sell 1
sentence 1
sentenced 1
several 1
she 10
sheriff 2
shipments 1
shock 1
shoot 2
shoots 1
shot 2
silenced 1
small 1
so 2
some 1
spinal 1
spine 2
spot 1
start 1
status 1
still 1
stings 1
stop 1
subsequently 1
suffers 1
surgery 5
takes 1
tan 2
tells 2
thank 1
that 16
the 57
their 1
there 1
these 1
they 11
things 1
thinks 1
this 1
thom 6
those 1
thrown 1
thus 1
to 31
town 3
townsfolk 1
trace 1
track 2
transported 1
tricked 1
trying 2
under 1
undergo 1
unearths 1
until 1
up 3
ventilator 1
victim 2
visits 1
ward 1
was 8
we 1
were 2
what 1
wheeled 1
when 2
where 3
which 1
while 1
whilst 2
who 8
why 1
wish 1
with 5
woman 1
worsen 1
year 1
years 1
