6623867
/m/0gf6_0
/m/0gf6_0
Colleen McCullough
1991
1 1
88 1
a 11
accused 2
after 2
against 3
age 1
aged 1
allied 1
allies 1
also 1
although 1
an 3
and 23
annihilation 1
appointed 1
are 1
army 2
around 1
as 7
aside 1
assassination 1
attempt 1
awarded 1
back 1
battle 1
bc 1
becomes 1
begin 1
beleaguered 1
believes 1
between 1
blockade 1
broke 1
by 1
cadet 1
caesar 1
can 2
careers 1
cato 1
centres 1
certain 1
chance 1
childhood 1
cicero 1
cites 1
citizens 1
citizenship 2
city 1
civil 1
colleagues 1
comitia 1
commander 1
conflict 1
consul 1
consulship 1
corona 1
crown 1
dealing 1
declare 1
defeat 1
della 1
depicted 1
destroy 1
destruction 1
discord 1
discredited 1
domestic 1
down 1
driven 1
drusus 1
dubbed 1
during 2
early 1
east 1
eastern 1
ends 1
entire 2
eponymous 1
eventually 1
ever 1
exile 1
extortion 1
face 1
falling 1
falsely 1
feels 1
festival 1
few 1
field 1
first 2
for 1
forced 1
fought 1
founder 1
friends 1
from 2
full 1
further 1
gaius 1
general 2
giorni 1
gloria 1
glory 1
going 1
graminea 1
grass 1
hailed 1
has 3
have 1
he 3
health 1
highest 1
him 1
his 5
honour 2
however 2
imperator 1
in 7
is 7
it 1
italian 2
italians 1
iti 1
its 1
julius 1
kings 1
lead 1
leads 2
legion 1
legions 1
lengthy 1
livius 1
looting 1
mad 1
main 1
march 1
marcus 1
marius 6
matter 1
men 1
mentor 1
military 1
mithridates 1
moreover 1
mutinous 1
narrative 1
near 1
necessary 1
nola 1
note 1
novel 2
now 1
of 20
old 1
on 4
once 1
one 1
only 3
or 3
other 1
otherwise 1
out 2
outshining 1
over 1
pining 1
planted 1
plot 2
points 1
political 1
pompeius 1
pompey 1
poor 1
powerful 1
presented 1
pressing 1
previously 1
professional 1
publius 1
pursue 1
putting 1
question 1
quickly 1
rallying 1
reason 1
rebellion 1
receive 1
refused 1
republic 1
revenge 1
right 1
roman 5
rome 6
rufus 1
rulers 1
rutilius 1
saved 1
second 1
section 1
secure 1
seeds 1
senate 1
series 2
serious 3
settled 1
seventh 1
shocking 1
should 1
side 1
sitting 1
slaughter 1
social 2
source 1
statesman 1
step 1
still 1
strabo 1
street 1
stroke 1
strokes 1
struggle 1
succeed 1
suffering 1
suffers 1
sulla 7
talent 1
the 34
their 1
them 1
therefore 1
these 1
they 1
third 1
this 4
though 1
thousands 1
threads 1
threat 1
tigranes 1
times 1
to 12
together 1
tragic 1
trial 1
troops 1
turning 1
two 2
undertakes 1
unjust 1
unprecedented 1
unwilling 1
very 1
wants 1
war 5
was 3
welcomed 1
well 1
were 1
which 3
who 4
wins 1
with 2
withdraw 1
would 1
younger 1
