19692008
/m/04mz9dq
/m/04mz9dq
Kit Pearson
1989
{"/m/03mfnf": "Young adult literature"}
a 3
about 1
accepts 2
acutely 1
after 1
again 1
although 1
an 2
and 15
angry 2
apologizes 1
are 1
argument 1
arrive 1
as 6
asks 1
at 2
attempts 1
aware 1
away 1
be 2
bed 1
been 1
before 1
begin 1
begins 3
boat 1
bored 1
bossy 1
but 4
by 3
can 1
canada 3
cannot 3
care 1
causes 1
coddled 1
cold 1
confused 1
constantly 1
convinced 1
country 1
daughter 1
decides 2
dislikes 1
does 1
doing 1
duration 1
england 3
english 1
evacuated 1
evacuation 2
expecting 1
family 1
far 1
find 1
fiveyearold 1
florence 8
for 5
foreign 1
friends 1
frightened 1
gavin 9
get 1
go 1
happening 1
happily 1
have 2
having 1
he 1
her 10
him 2
his 1
home 3
if 1
ignoring 1
impossible 1
improve 1
in 7
increases 2
independent 1
into 1
is 8
leave 1
leaves 1
life 1
live 2
longer 1
make 1
mary 2
misery 1
months 1
much 1
new 4
norah 12
norahs 1
not 1
of 3
offer 1
ogilvie 1
ogilvies 2
old 1
on 2
only 2
originally 2
own 1
past 1
peaceful 1
placed 1
plan 1
preference 1
punishment 1
quickly 1
rather 1
realizes 2
resentment 1
resents 1
return 3
run 1
school 1
settle 1
settles 1
she 9
something 1
spinster 1
spoilt 2
station 1
stoakes 1
strict 1
take 1
takes 1
temporary 1
ten 1
than 2
that 1
the 11
their 1
them 1
they 4
thought 1
timid 1
to 14
toronto 1
toward 1
train 1
try 1
understand 1
unpopular 1
until 1
very 2
village 1
wanted 1
war 1
was 1
weeks 1
well 1
were 1
wet 1
what 1
when 1
where 1
while 1
widow 1
with 3
without 1
worried 1
worries 1
wwii 1
year 1
