2000834
/m/06d2cc
/m/06d2cc
Thomas L. Friedman
2005-04-05
{"/m/02xlf": "Fiction"}
1 1
10 2
118 2
150 1
2 1
20 1
28 1
3 1
30 1
4 1
5 1
6 1
7 1
8 1
85 1
a 21
ability 3
about 3
accessed 1
accessible 1
accountants 1
across 1
activities 1
adaptable 1
adopters 1
advantage 1
against 1
ago 1
all 3
allowed 4
also 2
american 1
an 2
analog 1
and 38
another 2
any 1
anyone 2
anytime 1
anywhere 2
aol 1
are 2
argues 2
as 10
assistants 1
at 4
audience 1
bangalore 1
based 1
basic 1
be 9
became 1
become 2
before 2
behalf 1
being 1
believes 3
benefits 1
berlin 2
best 1
beyond 1
billion 1
blogs 1
book 2
brazil 1
broadened 1
businesses 1
by 9
cable 1
cables 1
call 1
called 2
came 2
can 6
catchall 1
center 1
chain 1
chains 1
changed 1
changing 1
chapter 1
china 3
cold 1
collaborating 1
collaboration 2
collapse 1
coming 1
communicate 1
communication 1
communications 1
communism 1
communities 1
companies 4
company 4
compares 1
compete 1
competition 1
complex 1
components 1
computer 4
computers 2
concepts 2
conflict 1
connect 1
considers 1
content 2
convergence 2
core 1
costeffective 1
costly 1
could 2
countries 2
cover 1
create 1
created 2
crisis 1
crude 1
day 1
decrease 1
defines 1
dell 2
dependent 1
design 1
device 1
devices 1
dialup 1
differentiating 1
digital 3
digitization 1
digitized 1
discussed 1
discussion 1
disruptive 1
distribution 2
documents 1
done 4
down 2
driving 1
drop 1
due 1
during 1
each 1
early 1
ease 1
easier 2
economic 2
efficient 1
emergence 1
employable 1
employees 2
employer 1
enabled 1
end 1
engineers 1
engines 2
entertainment 1
entrance 1
event 1
ever 1
everyday 1
everyone 1
example 6
examples 2
fall 1
fiber 1
fiberoptic 1
field 2
fight 1
file 1
files 1
films 1
find 1
first 1
fiveyearolds 1
flat 2
flattened 1
flattener 1
flatteners 2
flattening 2
flow 2
follow 1
for 14
force 3
forces 2
foreign 1
forms 1
foundation 1
friedman 19
from 8
geeks 1
genesis 1
global 6
globalization 4
google 2
government 1
governments 1
graphical 1
greater 1
growth 1
had 2
has 2
have 4
he 4
health 1
high 1
his 2
history 1
html 1
hub 1
humans 1
ibm 1
impact 1
in 15
include 1
income 1
india 2
individuals 1
information 1
informing 1
insourcing 2
inspiration 1
instant 1
insurance 2
integral 1
integration 1
interface 1
internal 1
internet 4
into 1
introduction 1
involved 1
ipods 1
is 9
it 4
item 1
its 2
jobs 2
join 1
journey 1
just 1
keep 2
key 1
label 1
labor 1
land 1
language 1
led 1
less 2
leveling 1
like 1
lists 2
machines 2
made 1
mail 1
main 1
mainstream 1
make 1
making 2
malaysia 1
manipulated 2
manufacturing 2
many 4
mass 1
mathematicians 1
meant 1
medium 1
messaging 1
mexico 1
micro 1
microsoft 1
million 1
mobile 3
modems 1
modern 1
moment 1
more 4
most 2
much 1
multinational 1
multiple 1
music 1
must 1
ndash 12
net 1
netscape 3
network 1
never 1
new 1
next 1
ninetyfiveyearolds 1
no 1
not 1
now 2
numbered 1
occurrences 1
of 29
offshore 1
offshoring 1
often 1
on 9
one 3
online 1
only 1
open 1
operations 1
operators 1
opinion 1
optic 1
or 1
organization 1
organizational 1
other 7
outsourcing 2
over 2
own 2
partly 1
parts 1
pc 1
pcs 1
penultimate 1
people 6
per 1
percentage 1
perform 1
performed 1
period 2
personal 6
phenomenon 1
phone 1
phones 1
photography 1
pictures 1
place 1
planet 1
platform 4
playing 2
point 1
points 2
possible 1
powered 1
prevention 1
previous 1
price 1
primarily 1
prime 2
process 1
processes 3
processing 3
product 1
professionals 1
programmers 1
projects 1
protagonists 1
protocol 2
protocols 1
providing 2
provocative 1
public 1
publish 1
quiet 1
read 1
realized 1
recounts 2
relocation 1
repairs 1
repeatedly 1
result 1
retail 1
retirement 1
revolution 1
rise 1
river 1
roots 1
roughly 1
sales 1
scientists 1
screen 1
search 2
searches 1
sees 1
service 1
services 1
shaped 1
sharing 1
shipping 2
should 2
side 1
simple 1
six 1
skills 1
smtp 1
so 4
software 4
something 1
source 1
speed 1
split 1
sprung 1
standardized 2
standards 3
stated 1
states 2
steroids 1
streamline 1
stuff 1
subcontracted 1
such 3
suggests 1
supply 2
supplychaining 1
switch 1
symbolized 1
take 2
talk 1
technologies 1
technology 1
ten 2
termed 1
than 1
that 17
the 65
their 2
them 1
theory 1
there 3
therefore 1
these 3
things 1
this 7
thomas 1
three 3
to 30
took 1
tool 1
toshiba 2
total 1
trade 1
transfer 1
transmitted 2
tremendous 1
two 1
typists 1
united 1
up 2
updating 1
uploading 2
ups 4
used 1
uses 2
using 1
usually 1
virtual 2
voice 2
voip 1
wall 3
walls 1
walmart 1
war 1
was 2
way 2
web 2
went 1
were 1
what 1
when 3
which 5
whole 1
wide 1
wikipedia 1
will 1
windows 3
wireless 1
with 7
word 2
words 1
work 7
workflow 1
world 7
would 1
writes 1
wto 1
years 1
you 1
youth 1
