2527567
/m/07l2_r
/m/07l2_r
Giles Foden
1998
17 1
171 1
18 1
a 11
according 1
acts 1
actual 1
adventure 1
africa 1
after 1
against 1
along 1
alternately 1
amin 10
an 1
and 11
around 1
articles 1
as 3
asians 1
associate 1
association 1
astles 4
at 1
author 1
background 1
based 1
be 1
better 1
bob 1
boldtype 1
book 1
british 1
brutal 1
by 3
called 1
came 1
character 2
compromised 1
confidant 1
corruption 1
coup 1
darbela 1
declaring 1
deposition 1
dictator 1
direct 1
disastrous 1
doctor 2
downfall 1
drawing 1
drawn 1
dtat 1
easy 1
eightyear 1
either 1
employment 1
entries 1
escape 1
events 2
evokes 1
expulsion 1
fact 1
fall 1
far 1
fascination 1
favour 1
favoured 1
fictional 2
focuses 1
foden 3
for 1
forces 1
form 1
from 1
garrigan 5
goes 1
gradually 1
grows 1
half 1
he 8
him 1
himself 2
his 8
how 1
idealism 1
imprisoned 1
in 10
including 1
inserting 1
interview 1
interviewed 1
into 3
is 3
jail 1
journal 1
journalist 1
judgment 1
king 1
least 1
living 1
magazine 1
many 1
memoir 1
morally 1
more 1
much 1
named 2
newspaper 1
nicholas 1
novel 1
occasion 1
of 15
on 4
one 1
online 1
or 2
out 1
paid 1
paranoia 1
participated 1
parts 1
past 1
paul 1
personal 2
physically 1
physician 2
point 1
power 2
president 2
price 1
proactive 1
protagonist 1
protector 1
punished 1
refers 1
reign 1
relates 1
relationship 1
remaining 1
repeatedly 1
researched 1
results 1
rise 1
rule 1
ruler 1
ruthless 1
said 1
scotland 1
scottish 1
security 1
sense 1
six 1
soldier 1
soon 1
spending 1
surrounding 1
than 1
the 19
those 2
title 1
to 5
tortured 1
twenty 1
uganda 2
ugandan 3
until 2
was 5
watched 1
way 1
while 1
who 4
with 5
work 1
worked 1
years 2
young 1
