3977224
/m/0b9nws
/m/0b9nws
A. J. Cronin
1935
{"/m/05hgj": "Novel"}
a 14
about 1
accept 1
action 1
allows 1
also 4
an 2
and 9
are 1
arthur 1
as 3
aspiring 1
assistant 1
at 4
baccalaureate 1
barras 2
be 1
becomes 3
begins 1
bookie 1
bosses 2
brief 1
broad 1
but 4
by 1
callup 1
can 1
catastrophe 1
central 1
centres 1
changed 1
characters 2
children 1
class 1
clear 1
coal 2
colliery 1
comes 1
commitment 1
conscientious 1
craves 1
cronin 1
crystallized 1
davey 3
david 1
decent 1
defy 1
degree 1
description 2
different 2
dislike 1
distinct 1
do 2
drawn 1
drifts 1
during 1
duties 1
ends 1
england 1
escaping 1
essentially 1
evade 1
examined 1
excellent 1
existed 1
factor 1
failure 1
family 1
father 1
feels 1
fenwick 1
fight 2
finishes 1
for 4
from 2
gowlan 1
great 1
have 1
he 2
help 1
his 3
idea 1
in 5
indifferent 1
industrial 1
initially 1
is 10
issues 1
it 2
jenny 1
joe 3
joins 1
least 1
level 1
life 1
mass 1
men 2
mine 2
miner 1
miners 1
mines 3
mining 1
mobile 1
most 1
mp 1
much 2
nationalisation 2
nationalising 1
neptune 2
nonmilitary 1
north 1
novel 2
objection 1
objectors 1
occurs 1
of 17
often 1
on 2
one 1
openly 1
or 1
order 1
other 1
own 1
owner 1
owners 2
people 1
period 1
personal 1
politics 1
private 1
reactions 1
refusing 2
replacing 1
richard 1
routes 1
safety 1
school 1
service 1
short 1
shows 1
small 1
social 1
some 1
son 1
status 1
story 1
strong 1
sunley 1
supporter 1
sympathy 1
system 1
take 1
tales 1
teacher 1
that 5
the 26
their 2
then 1
there 3
three 1
time 1
to 9
too 1
towards 1
tribunals 1
trickery 1
unhappy 1
unscrupulous 1
up 1
upwardly 1
use 1
valid 1
values 1
vastly 1
very 1
volunteer 2
war 1
warprofiteer 1
weak 1
while 1
who 2
wife 1
with 2
workers 1
working 1
workingclass 1
you 1
