3857751
/m/0b3lvy
/m/0b3lvy
Steven Millhauser
1996
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 6
all 1
ambiguous 1
american 1
an 2
and 3
around 1
as 3
assistant 2
at 1
be 1
beginnings 1
begins 1
behind 1
bellboy 1
bigger 1
bright 1
builds 1
business 2
caroline 1
chain 1
cigar 1
concept 1
confusion 1
conscientious 1
corner 1
disappointment 1
distant 1
dream 1
dressler 1
due 1
emmeline 1
employment 1
emptiness 1
extravagant 1
father 1
feeling 1
finds 1
focus 2
for 3
friend 1
from 1
grand 1
has 1
he 5
her 1
hierarchy 1
his 5
hotel 3
humble 1
ideal 1
ideas 1
imagination 1
immigrant 1
in 2
instead 1
instinctive 1
is 4
its 1
large 1
later 1
lie 1
manager 1
managing 1
marriage 1
martin 3
may 1
must 1
new 1
next 1
novel 2
of 6
offered 1
on 1
one 1
orchestrating 1
own 1
partner 1
persistent 1
position 1
promotions 1
quits 1
reputation 1
restaurants 1
rises 1
sense 1
shop 1
sister 1
sisterinlaw 1
something 1
source 1
sweeping 1
systems 1
that 2
the 9
themes 1
there 1
this 1
through 3
to 3
vanderlyn 1
vernon 1
waiting 1
when 1
while 1
withdrawn 1
worker 1
