10094894
/m/02q1mjr
/m/02q1mjr
Marita Conlon-McKenna

1845 1
a 1
accept 1
after 1
an 1
and 4
arduous 1
are 1
at 1
away 1
baby 1
blight 1
book 1
both 1
bridget 1
buried 1
children 1
cottage 1
days 1
dead 1
dies 1
does 1
eily 1
family 1
father 1
find 2
for 1
garden 1
goes 1
greataunts 1
hawthorn 2
he 1
him 1
home 1
hundreds 1
in 5
ireland 1
irish 1
is 2
journey 1
leaves 1
linked 1
live 1
michael 1
miles 1
mother 1
mythology 1
not 1
novel 1
odriscoll 1
of 3
opening 1
otherworld 1
peggy 1
plot 1
potato 1
return 1
rural 1
several 1
siblings 1
sister 1
small 1
some 1
story 1
strikes 1
take 1
tells 1
that 1
the 10
their 4
three 1
time 1
to 3
tree 1
under 1
when 1
who 1
with 1
work 1
