1036847
/m/040dg6
/m/040dg6
William Shakespeare

a 10
able 1
after 4
against 2
agrippa 1
allow 1
allowing 2
along 1
alongside 1
and 20
angry 1
another 1
antium 1
are 2
army 4
arrives 1
as 5
assault 1
at 2
aufidius 8
away 2
banished 2
banishes 1
battle 1
be 1
because 1
becoming 1
being 2
betrayal 1
between 1
blame 1
blood 1
both 1
bows 1
brilliant 1
brutus 2
but 3
by 3
caius 3
calm 1
capital 2
chaste 1
child 1
citizens 1
city 3
cognomen 1
combat 1
cominius 5
commanded 1
commander 1
commoners 1
compares 1
concept 1
concludes 1
condemn 1
conquer 1
considers 1
conspirators 1
consul 2
contemptuous 1
coriolanus 13
corioles 2
country 1
courage 1
crows 1
crusade 1
denounce 1
deputy 1
desperately 1
destroying 1
dissuading 1
do 1
drag 1
eagles 1
effortlessly 1
embrace 1
encounter 1
encourages 1
ends 1
enemy 1
even 1
exhausted 1
exiled 1
expulsion 1
faced 1
fail 1
field 1
fight 2
fighting 1
finally 1
first 1
flies 1
for 5
force 2
fought 1
from 6
gates 1
general 2
gentlewoman 1
gives 1
grain 3
great 2
halt 1
has 1
have 2
he 6
her 3
hesitant 1
him 7
himself 1
his 11
honoured 1
however 1
in 10
initially 1
instead 1
into 1
is 9
it 2
its 1
join 1
kill 2
kings 1
lack 1
lead 1
leads 1
leaves 1
let 1
marches 1
martius 11
meet 3
menenius 3
military 1
mother 2
moved 1
named 1
new 1
news 1
not 1
occasions 1
of 16
offers 1
on 2
only 1
open 1
openly 1
opens 1
opposition 2
order 2
ordinary 1
organised 1
other 1
out 1
over 2
own 1
panic 1
particularly 1
patrician 1
patricians 1
peace 1
peck 1
persuade 1
play 1
plebeians 2
plight 1
popular 1
power 1
presence 1
privately 1
progress 1
quickly 1
rage 1
rails 1
rally 1
recognition 1
retorts 1
return 1
returns 1
riot 1
rioters 3
riots 1
roman 3
romans 2
rome 8
rule 1
run 1
says 1
scheme 1
seeks 1
seems 1
senate 1
sent 1
service 1
several 1
shortly 1
sicinius 2
siege 1
single 1
soldiers 2
son 3
spite 1
stores 1
succeeds 1
superiors 1
support 1
taken 1
takes 1
tarquin 1
that 4
the 37
their 1
there 1
they 2
this 2
though 1
to 23
traitor 1
treaty 1
tribunes 2
tries 2
tullus 1
two 2
undo 1
unsuccessful 1
up 1
valeria 1
vengeance 1
virgilia 1
volscian 6
volscians 1
volumnia 3
well 2
were 2
when 3
which 1
while 2
whip 1
who 1
whom 1
wife 1
wins 1
wishes 1
with 4
withheld 1
won 1
words 1
worthy 1
