4322374
/m/0bx0s8
/m/0bx0s8
Margaret Weis
2006-02-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 11
about 3
after 2
again 4
agitated 1
agree 1
agrees 1
all 1
along 1
also 1
an 3
and 13
answer 1
any 3
anything 1
are 1
ariakan 1
artifacts 1
as 2
assault 1
at 3
atta 1
attacks 1
auseric 1
authority 1
back 3
be 1
because 3
becomes 1
been 4
before 2
begins 2
begun 1
behalf 1
being 1
believes 1
beloved 7
best 1
blood 1
bottom 2
brother 5
by 7
can 1
chemosh 7
child 2
comalike 1
command 1
conclave 1
confronts 1
corrupted 1
counsel 1
cousins 1
creature 1
dark 4
death 1
decides 1
destroyed 1
disciple 1
does 1
dog 1
each 1
elsewhere 1
encounter 1
ending 1
ends 1
erect 1
erected 1
escape 1
eventually 1
ever 1
exertion 1
extraordinary 1
fact 1
febalas 1
finally 4
finds 1
first 2
follow 2
for 6
former 1
found 1
from 2
gerard 2
getting 1
gives 2
god 2
godpresence 1
gods 1
growing 1
had 1
hall 2
hands 1
has 6
have 1
having 1
he 5
head 1
help 1
her 5
here 1
high 1
him 4
his 9
human 1
if 1
imprisoned 3
in 13
increasingly 1
insists 1
instantly 1
interest 1
introduced 1
irate 1
is 5
island 1
istar 2
it 6
khas 1
kill 2
knight 2
knows 1
krell 4
leaving 1
life 1
light 1
like 1
lleu 1
longer 1
magic 2
majere 2
major 1
makes 1
mason 1
meet 1
meeting 1
middle 1
mina 12
minor 1
monk 1
mother 1
mounting 1
nature 1
new 4
newly 1
nightshade 2
no 1
not 1
novel 3
now 1
nuitari 3
ocean 1
of 17
on 3
once 2
one 2
only 1
or 1
others 1
out 1
over 3
overwhelmed 1
passing 1
piece 2
places 1
plan 1
pleads 1
pondering 1
port 3
possible 1
pulls 1
queen 1
resist 1
retrieved 1
returns 1
reveals 2
rhys 11
sacrilege 1
sea 2
searching 1
seeks 1
sends 1
set 1
she 7
sheriff 1
showing 1
since 1
situation 1
so 1
solace 2
solia 1
somehow 1
something 1
sorcery 1
soul 1
state 1
stay 1
such 1
swayed 1
tails 1
take 2
takes 1
takhisis 1
task 1
that 2
the 32
them 3
then 1
there 2
three 2
through 1
to 14
top 1
tower 5
towers 1
tracking 1
tries 2
truth 1
trying 1
unable 1
unconscious 1
up 2
upon 1
vision 1
want 1
was 1
way 1
when 1
where 1
while 1
who 5
will 1
wishes 1
with 7
wizards 1
woman 2
would 3
zeboim 4
