18491744
/m/04f11tp
/m/04f11tp
Lawrence Watt-Evans

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
actually 1
after 1
again 1
against 1
aid 1
aldagmor 2
along 1
and 3
any 2
apprenticed 1
are 2
arriving 1
as 6
assorted 1
away 1
because 1
becomes 1
before 1
being 1
but 1
calling 2
can 1
career 1
companions 1
course 1
days 1
description 1
died 1
discovers 1
dismissed 1
disqualified 1
down 1
drawn 1
ethshar 1
evolves 1
far 1
feeling 1
field 1
for 3
from 2
gambler 1
get 1
gives 1
guild 1
has 1
hauled 1
he 1
hegemony 1
heir 1
help 1
hereditary 1
hired 1
his 2
in 5
is 6
it 1
ix 1
king 1
kingdom 1
kingdoms 1
law 1
liking 1
long 1
low 1
magic 1
magician 2
master 1
more 1
most 1
never 1
not 1
of 8
off 1
on 1
once 1
one 2
other 1
others 1
out 1
outline 1
party 1
perform 1
plot 1
power 1
powerful 1
practice 1
quickly 1
search 1
second 1
seeking 1
seen 1
semma 3
sent 1
small 1
so 1
source 1
stakes 1
sterren 4
story 1
studies 1
take 1
takes 1
than 1
the 17
they 2
three 1
title 1
to 11
track 1
unable 1
unwilling 1
up 1
verge 1
viii 1
vond 3
war 2
warlock 3
warlockry 1
warlord 2
was 2
where 1
who 3
with 2
