3079253
/m/08pzhf
/m/08pzhf
Ricardo Pinto
1999
{"/m/01hmnh": "Fantasy"}
a 12
abducted 1
accept 1
affairs 1
again 1
agrees 1
allied 1
an 1
and 17
apart 1
arbiter 1
are 2
as 4
asking 1
at 1
attend 1
be 1
become 2
becomes 2
been 1
behind 1
between 2
boy 1
brothers 1
brought 2
by 3
capital 2
carnelian 6
caste 1
causing 1
choice 1
comes 1
common 1
concerns 1
contending 1
contest 1
contrasts 1
coronation 1
court 2
cruelty 1
current 1
death 1
default 1
delegation 2
dying 1
election 3
emperor 3
excesses 1
exile 1
experienced 2
experiences 1
explorer 1
extensive 1
extravagance 1
face 1
far 1
father 1
fathers 1
for 3
formerly 1
from 2
gains 1
govern 1
greatest 1
has 3
have 1
he 2
hero 1
him 2
his 6
home 1
household 2
immediate 1
impossible 1
impressions 1
in 4
inconsequential 1
indifference 1
influential 1
initially 1
inner 1
into 1
involved 1
is 8
island 1
it 2
its 1
journey 1
lands 2
laws 1
left 1
lessons 1
life 1
look 1
lord 4
lords 1
lose 1
loss 1
made 1
make 1
makes 1
making 1
man 2
molochite 1
most 1
move 1
must 1
natural 1
needed 1
new 1
normally 1
not 1
number 1
of 18
once 1
one 1
only 2
osidian 3
osrakum 2
other 1
others 1
outsider 1
oversee 1
own 1
palace 1
pale 1
placed 1
places 1
position 2
powerful 2
prince 2
reader 1
regent 1
repairs 1
return 1
rich 1
rulebreaker 1
ruling 1
secret 1
see 1
several 1
shadow 1
sharp 1
ship 1
since 1
slaves 1
society 1
son 2
sons 1
sort 1
stores 1
story 1
stranger 1
such 2
suffering 1
survive 1
suth 4
that 1
the 34
their 2
them 1
then 1
they 1
this 1
though 1
three 2
throne 1
through 1
thrown 1
tight 1
to 17
torn 1
two 2
up 1
upon 1
vicious 1
votes 1
well 1
which 3
who 1
will 1
winter 1
with 1
without 1
workings 1
world 1
would 1
