1372752
/m/04xllk
/m/04xllk
David Weber
1994
20th 1
a 9
able 2
aboard 1
academy 1
active 1
admiral 5
after 2
against 3
aided 1
air 1
alliance 3
allow 2
allows 1
alongside 1
an 1
and 17
are 2
argus 2
armada 1
arrest 1
arrive 1
as 2
at 5
attack 1
ballistic 1
base 1
battle 4
battlecruiser 1
battles 1
be 3
because 1
been 1
begin 1
beginning 1
being 1
believe 1
birthday 1
blame 1
bolder 1
books 1
both 1
brandnew 1
but 1
by 6
c 1
can 1
capt 1
captain 2
celebration 1
cement 1
century 1
chief 1
collect 1
command 3
committee 1
cordelia 1
costs 1
coup 1
courses 1
courtmartialed 1
cowardice 1
create 1
crew 1
critical 1
current 1
data 1
decide 2
defend 2
defensive 1
deficit 1
depicted 1
deployed 1
deployment 1
deploys 1
detected 1
directly 1
disaster 1
disastrous 1
discover 1
disobeys 1
distract 1
dock 1
dumps 1
during 1
duty 1
economic 2
edge 1
elsewhere 1
elsewherebears 1
end 1
enemy 1
engineer 1
engineers 1
enough 1
entire 1
executive 1
face 1
faced 2
fear 1
figures 1
final 1
find 1
finds 1
first 4
flaw 1
flees 1
fleet 1
for 2
force 3
forced 1
forces 4
form 1
formation 1
formed 1
friend 1
from 6
further 1
fusion 1
getting 1
government 4
grade 1
greatly 1
guard 1
gulf 1
had 1
hampers 1
hancock 5
harris 1
have 1
haven 1
havenite 6
havenites 3
he 1
help 1
henke 1
her 9
hereditary 1
his 3
hms 1
hold 1
honor 9
honorcentered 1
in 12
inflation 1
injuries 1
into 2
is 9
its 3
itself 1
joins 1
junior 1
killing 1
killings 1
kinkaid 1
larger 1
largest 1
launch 1
leaders 1
league 1
legislaturalist 1
less 1
leyte 1
life 1
list 1
little 1
long 1
maintain 1
manticoran 4
manticore 6
mantircore 1
many 1
mark 1
marks 1
massive 1
meanwhile 1
members 1
michelle 1
military 2
missile 1
missions 1
more 1
most 3
movements 1
much 2
naval 1
navy 4
nearly 2
net 1
new 1
nike 4
no 1
novel 2
of 29
off 1
officer 3
officers 1
old 3
on 4
one 1
operational 1
opponents 1
opposition 1
orders 1
oscar 1
other 1
overall 1
overthrow 1
paul 1
pavel 2
people 3
perspectives 1
pierre 1
placed 1
plan 1
planted 1
platforms 2
pods 1
points 1
political 1
position 1
possible 1
post 1
practical 1
president 1
prevent 2
previous 2
pride 1
probing 1
problems 1
project 1
proles 1
promoted 1
prop 1
protecting 1
provocation 1
provocations 1
public 1
purchased 1
purge 1
push 1
queen 1
ransomlead 1
reactors 1
real 1
reassigned 1
redeploying 1
reinforcements 1
relationship 1
removed 1
republic 3
resemblance 1
resort 1
returns 1
revolutionariesrobert 1
riches 1
romantic 1
royal 2
rule 2
s 1
safety 1
saintjust 1
sarnow 3
sarnowhaving 1
see 1
senior 2
sensor 2
she 1
ship 1
ships 2
short 1
shuttles 1
situation 2
solarian 1
some 1
spends 1
stages 1
star 1
start 1
state 2
station 5
stealthy 1
strike 2
struggling 1
superior 2
sustained 1
system 1
systems 3
tactical 1
tactics 1
taking 1
tankersley 2
task 1
teetering 1
than 2
the 60
their 7
them 2
themselves 2
they 5
this 4
thomas 1
three 1
through 1
time 1
to 33
tricked 1
two 1
unable 1
under 1
unorthodox 1
until 1
up 1
use 3
using 1
vastly 1
victorious 1
war 5
watch 1
way 1
weak 1
weakness 1
welfare 2
when 2
which 1
will 1
with 8
without 1
wounded 1
young 3
