8567
/m/02cxx
/m/02cxx
Frank Herbert
1969
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
165 1
a 22
abandoned 1
ability 1
able 3
acceptance 1
accepting 1
accepts 1
access 1
accurately 1
acting 1
after 1
against 3
agent 1
aimed 1
alia 3
all 2
alone 1
also 2
although 1
among 2
an 5
ancestral 1
and 24
another 1
any 1
appear 1
appropriate 1
are 2
area 1
around 1
as 12
at 1
atomic 1
atreides 4
attack 1
attempt 1
attempts 1
aware 1
bargain 1
be 1
because 1
become 1
becomes 1
been 3
being 1
beloved 1
bene 3
bijaz 4
billion 1
birth 2
blind 4
blinds 1
bloodline 1
body 1
both 1
bound 1
breeding 1
bring 1
brought 1
burner 1
but 6
by 9
called 2
can 4
cannot 1
causing 1
change 1
chani 12
child 1
childhood 1
children 1
choam 1
chooses 1
church 1
circumstances 1
combination 1
come 1
commandos 1
commands 1
completely 1
compulsion 1
compulsions 1
concubine 1
conquered 1
conscious 2
consciousness 1
consort 1
conspiracy 4
conspirators 2
contraceptives 1
corrino 1
course 1
created 2
dagger 1
dancer 1
daughter 1
death 2
deaths 1
deceased 1
deification 1
deposed 1
described 1
desert 3
desperate 1
destiny 1
destroys 1
destruction 1
details 2
dethrone 1
developed 1
diabolical 1
died 1
dies 1
diet 2
disadvantage 1
does 1
duncan 6
dune 1
dwarf 1
dynasty 1
edric 1
embrace 1
emperor 4
empire 2
enabled 1
enemies 2
enlisting 1
enter 1
entrenches 1
escaped 1
even 3
events 1
eventually 1
ever 1
everything 1
evidence 1
excesses 1
exile 1
exposure 1
eyes 2
face 1
faces 1
fact 1
failed 1
far 1
father 1
fealty 1
fedaykin 2
fertility 1
focal 1
food 1
for 7
force 1
forcing 1
foresee 1
foreseen 1
former 2
fremen 12
friend 1
from 5
full 1
fully 1
function 1
furthermore 1
future 1
gaius 1
genes 1
gesserit 3
ghanima 1
ghola 4
gift 2
given 2
gives 2
giving 2
godhead 1
going 1
guaranteeing 1
guild 2
had 3
haderachlike 1
hands 1
happens 1
has 10
have 2
hayt 9
he 12
heir 2
helen 1
her 5
high 1
him 1
himself 1
his 18
holdings 1
hope 2
hopes 1
humanity 2
humming 1
idaho 2
implanted 1
implants 1
in 11
inability 1
indicate 1
inevitably 1
infants 1
inherit 1
interfere 1
interrogates 1
into 6
intonation 1
involved 1
irony 1
irulan 4
is 10
it 1
its 1
iv 1
jihad 1
juggernaut 1
kill 4
knife 1
knowledge 1
known 2
korba 1
kwisatz 1
lead 1
leaves 1
lethal 1
leto 1
life 1
like 2
line 1
little 1
lockstep 1
long 1
longer 1
lose 1
machine 1
man 2
manactually 1
mantle 1
matters 1
memories 2
mentat 1
messiah 1
might 2
mind 2
mohiam 1
monarchy 1
most 2
mother 1
motivated 1
moving 1
muaddib 1
named 1
names 1
navigator 1
negotiates 1
newborn 1
news 1
no 1
not 2
notes 1
now 5
oblivious 1
of 32
off 1
offer 1
offers 1
on 1
one 2
open 1
or 1
oracles 1
oracular 2
others 1
otheym 2
outcome 1
own 3
padishah 1
part 1
paul 39
people 1
perished 1
perspective 1
physically 1
place 1
plot 1
point 1
possibility 1
possible 1
powerful 1
powerless 1
powers 1
preborn 1
pregnancy 1
pregnant 1
prescience 1
prescient 1
presence 2
preserve 1
preventing 1
priest 1
princess 1
produce 1
program 2
programming 3
programs 1
prophetically 1
proving 1
purchased 1
quantities 1
question 1
rather 1
reaction 1
reacts 1
reawakened 1
rebirth 1
recording 1
recovers 1
refused 1
refuses 1
regent 1
religion 1
religious 1
reluctantly 1
remains 2
remember 1
rendered 1
renders 1
resist 1
return 2
reveals 2
reverend 1
revive 1
role 1
romantically 1
rule 1
ruler 1
rules 1
sacrificing 1
same 1
scytale 4
secretly 1
secure 1
see 3
seeing 1
servant 1
set 2
shaddam 1
shield 1
shocks 1
sighted 1
sister 1
sixtyone 1
slightest 1
so 2
soldiers 1
some 1
son 2
soon 1
spacing 1
special 1
specific 1
spice 1
stagnation 1
still 2
stone 1
stop 1
strands 1
submit 1
support 2
switches 1
taking 1
tamper 1
teacher 1
tension 1
than 1
thanks 2
that 14
the 65
their 4
them 1
this 4
though 1
threatens 1
throne 1
through 1
time 1
tleilaxu 8
tleilaxugrown 1
tleilaxuuses 1
to 36
tools 1
touch 1
tradition 2
traditional 1
training 1
triggers 1
triumph 1
twelve 1
twins 2
unclean 1
undermine 1
universe 1
unleashed 1
unraveling 1
utero 1
vision 1
visions 3
walking 2
want 1
way 2
weakens 1
weapon 1
well 1
when 1
which 1
while 4
who 4
whom 1
will 5
winning 1
wishes 1
with 9
within 1
without 1
world 2
worst 1
years 1
yet 1
zensunni 1
