1888389
/m/063y70
/m/063y70
Monica Hughes
1990
0 1
10meaning 1
8 1
a 18
abandoned 1
actually 1
africalike 1
after 3
agricultural 1
allowed 1
an 5
and 11
any 1
anything 1
are 8
area 4
arrive 1
as 3
assigned 1
at 1
awakened 1
back 1
become 1
being 1
between 1
book 1
by 2
can 1
cannot 1
carefree 1
changesmdashthey 1
colonization 1
colony 1
come 1
consisting 1
criminals 1
da 1
danger 1
day 1
designated 1
designed 2
desperate 1
despite 2
develop 2
dirty 1
discourage 1
discover 1
discuss 1
disputes 1
doctor 1
dreary 1
during 2
each 1
early 1
electric 1
else 1
entertainment 1
entrance 1
envelope 1
evenings 1
eventually 1
except 1
exercise 1
experience 1
experiences 1
explains 1
facility 1
filling 1
find 1
first 1
focuses 1
folks 1
for 4
forward 1
friends 2
from 5
game 9
gathering 1
go 1
government 2
graduated 1
graduating 1
group 6
had 1
halt 1
have 2
having 1
help 1
her 2
hinted 1
how 1
however 1
hurting 1
if 1
in 10
indeed 1
information 2
inside 2
intelligence 1
into 1
invited 1
involved 1
is 8
it 3
jobplacement 1
jogging 1
karate 1
kind 2
knew 1
knowledge 1
large 1
later 1
learning 1
learns 1
library 1
like 1
lisse 2
little 1
live 2
lives 2
local 1
look 1
massive 1
meant 1
measures 1
mere 1
most 1
motivations 1
moves 1
much 1
navigate 1
need 1
needs 2
night 1
nightlife 1
not 1
nothing 1
now 1
of 15
offworld 1
on 1
once 1
one 1
or 2
other 1
otherwise 1
out 4
overpopulation 1
own 1
part 1
party 1
people 3
place 1
placed 3
police 1
portion 1
prepare 1
prestigious 1
private 1
problems 1
progress 1
project 2
qualified 1
quell 1
quickly 1
rate 1
rather 1
real 1
reason 1
regular 1
reinforces 1
respected 1
revealed 1
safety 1
schedule 1
school 4
search 1
secret 1
security 2
seed 1
session 1
sessions 1
shocks 1
simulation 2
since 1
some 1
someone 1
sophisticated 1
spend 1
step 1
study 1
subways 1
such 2
suffering 1
supposition 1
suspicious 1
swiftly 1
system 2
take 1
talents 1
taste 1
than 1
that 7
the 28
their 10
them 1
themselves 1
they 16
this 4
those 1
thought 1
time 2
to 15
training 3
trip 1
try 1
unemployable 1
unemployed 2
variety 1
very 2
via 1
visited 1
warehouse 2
was 1
weighttraining 1
were 1
which 3
with 3
within 2
workers 1
workforce 1
world 2
worlds 1
would 1
year 1
