7426483
/m/026184q
/m/026184q
Orhan Pamuk
1985
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
184 1
185 1
a 21
abandons 1
able 4
about 6
accepted 1
according 1
acquaintance 1
admit 1
admits 1
after 3
agrees 1
alive 1
almageist 1
ambitions 1
among 2
an 4
anatomy 1
ancient 1
and 21
any 2
appears 1
archive 1
are 4
arrives 2
as 11
assist 1
astrologer 3
astronomy 1
at 3
attacking 1
austria 1
authenticate 1
author 3
avail 1
away 1
basic 1
be 2
became 1
because 1
becomes 2
before 4
beginning 1
begins 4
being 1
believing 1
between 1
bluff 1
book 3
breaks 2
brilliance 1
brought 1
bureaucratic 1
but 4
by 3
can 3
cannot 1
captain 1
captured 2
castle 2
character 1
characters 1
chelebi 1
children 1
chose 1
claim 1
claims 2
closes 1
coming 1
commends 1
commissions 1
competing 1
completed 1
condition 1
connect 2
contemporary 1
continues 2
convert 1
copy 1
could 1
course 1
court 1
create 1
cruelty 1
cure 1
custody 1
darvinoglu 1
deal 1
decides 1
dedication 2
departing 1
display 2
displays 1
distance 1
do 1
doctor 2
done 1
doppelganger 1
doppio 1
during 3
edirne 2
empire 1
encouragement 1
ends 1
entertain 1
escaped 1
even 1
events 2
evliya 1
execution 1
failed 1
failure 1
fallen 1
faruk 3
fascinated 1
faults 1
favor 1
fear 1
fearing 2
fellows 1
fictional 1
finally 1
financially 1
find 2
finding 1
fireworks 2
flaws 1
fleet 1
follows 2
for 8
form 1
found 2
frame 2
freedom 1
from 7
further 2
gain 1
gaining 1
gebze 1
get 1
goal 2
goes 2
got 1
governors 1
great 2
guards 1
has 6
have 2
he 28
hed 1
hell 1
hes 2
hesitates 1
hiding 1
him 17
himself 1
his 23
historian 1
hoja 14
hojas 2
home 1
hoping 2
house 1
houses 1
how 1
hungary 1
identity 1
ill 1
imitate 1
impatience 1
imperial 1
imprisoned 1
imprisonment 1
in 10
incident 1
increasingly 1
influence 1
inquiries 1
insights 1
inspired 1
interested 1
into 1
intrigue 1
is 19
islam 1
istanbul 1
it 3
italian 1
italy 4
its 2
kazakhstan 1
killed 2
knowledge 1
knows 1
korans 1
late 1
leading 1
learn 2
learns 1
left 1
life 4
living 1
looking 1
looks 1
loss 1
lukewarm 1
make 1
malicious 1
man 1
manages 1
mannerisms 1
manuscript 1
manuscripts 1
many 1
married 1
men 1
misdeeds 1
mistaken 1
mock 1
modern 1
mother 1
much 1
naples 1
narrator 20
narrators 5
nature 1
next 1
nightmares 1
no 1
nonetheless 1
not 3
nothing 1
noting 1
now 1
obtain 1
obtained 1
obtains 1
of 19
offers 1
office 1
old 2
on 5
once 1
one 1
only 1
onto 1
order 1
ottoman 1
out 3
over 5
owned 1
pamuks 1
papers 1
pasha 5
past 5
perfectly 1
place 1
plague 3
poles 1
ponders 1
poorly 1
position 1
post 2
preface 2
preferential 1
presence 1
pressure 1
previous 2
prison 1
prisoners 1
progress 1
proper 1
prove 1
publish 1
publisher 1
quite 1
reaction 1
readers 1
recalls 1
receives 1
reclaims 1
record 1
referenced 1
refuses 2
reinforcements 1
remark 1
resigned 1
reveals 1
ridicules 1
room 1
royal 1
runs 1
sailing 1
same 1
science 1
see 1
seeks 1
sees 1
sets 1
seventies 1
share 2
ship 2
shocked 1
siege 1
silent 1
sister 2
six 1
slave 2
slaves 1
so 1
some 1
sons 1
source 1
spain 1
staged 1
still 3
storage 1
stories 2
story 3
stubbornness 1
subject 1
subsides 1
success 1
successfully 1
such 2
sultan 1
sultans 2
superiority 1
surprised 2
swap 1
taken 1
takes 1
taking 1
tale 4
tales 1
talking 1
taunts 1
tells 2
that 18
the 91
then 1
they 4
this 2
though 2
through 1
throughout 1
time 2
title 1
titular 1
to 41
torment 1
tout 1
transcript 1
translated 1
travelers 1
traveling 1
treatment 1
tries 2
try 2
trying 2
turkish 1
turning 1
two 4
unable 3
under 1
unnamed 1
unread 1
us 1
useful 1
uses 1
using 2
vanishes 1
venerated 1
venice 1
way 1
weapon 4
wedding 2
weeks 1
well 3
were 1
what 1
when 9
which 1
while 6
white 1
who 1
whod 1
why 1
will 2
with 11
within 1
wooden 1
word 1
work 5
worked 1
works 1
write 1
written 1
years 1
young 1
youthful 1
