475298
/m/02d_q5
/m/02d_q5
Jasper Fforde
2002
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 25
abandoned 1
abel 1
accidentor 1
acheron 2
affair 5
after 3
afterwards 1
agency 1
agent 2
ago 1
all 3
allan 1
also 1
alternate 1
ambrose 1
an 5
and 26
another 1
any 1
aornis 7
appeared 1
apprehend 1
apprenticed 1
are 1
as 4
at 3
authenticity 1
baby 1
back 2
be 2
before 1
beginning 1
begins 1
being 1
between 1
bierce 1
big 2
birth 1
blackmail 1
boat 1
book 3
bookjumping 1
books 2
both 2
bowden 1
breaks 1
bride 1
brotherlike 1
building 1
business 1
but 5
by 4
byzantine 1
cable 1
can 3
cardenio 3
cat 1
caused 1
changed 1
character 2
characters 1
charge 1
chemical 1
cheshire 1
child 1
chronoguard 4
clothing 1
conceived 1
confused 1
contains 1
continues 1
continuously 1
contrived 1
control 1
copies 1
copy 1
corporate 1
corporation 2
create 1
dawn 1
day 1
de 1
death 1
destroyed 1
detective 1
determine 1
dickens 1
discover 1
discovered 1
discoverer 1
does 1
done 1
dont 1
down 1
dream 3
dreams 2
drowning 1
during 1
earth 1
easy 1
edgar 1
edit 1
effort 1
election 2
employer 1
employs 1
encounters 1
end 3
ending 2
england 1
ensures 1
enters 2
eradicate 1
escapes 1
establishes 1
even 1
event 1
events 2
eventually 1
ever 1
every 1
expectations 2
extensive 1
eyre 6
facto 1
fashion 1
father 5
fforde 1
fiction 2
fictional 2
find 1
finds 2
flood 1
flying 1
for 5
force 1
found 2
from 8
frontrunner 1
future 1
general 1
gives 1
going 2
goliath 5
goo 1
great 6
guaranteed 1
guided 1
had 1
hades 2
hands 1
happily 1
has 2
have 3
having 2
havisham 4
he 3
hearing 1
help 2
her 18
hers 1
herself 3
hewill 1
him 2
himself 2
hire 1
his 5
home 2
hostage 1
how 1
however 2
husband 1
implied 2
in 22
inept 1
informs 1
inherent 1
intention 1
into 3
introduces 1
invention 1
inventions 1
ironically 1
is 12
it 5
itand 1
its 2
jack 2
jane 1
jurisfiction 2
just 2
kafka 1
kaine 1
keeping 1
kept 1
kill 1
labels 1
landen 8
later 1
latter 1
lavoisier 1
learn 1
learned 1
leave 1
leaving 1
legal 1
library 4
life 1
line 1
literally 1
literary 3
literature 2
little 1
lord 1
lost 2
machine 1
magwitch 1
major 1
making 1
mansion 1
manuscript 1
marooned 1
married 1
mary 2
material 1
maternity 1
meet 1
meets 1
memories 2
memory 3
method 1
miss 3
months 1
moored 1
mrs 2
much 1
mycroft 4
mystery 1
nakajima 2
named 1
needed 2
new 1
next 2
nick 1
no 1
nonfiction 1
novel 1
now 2
nutrients 1
of 31
offer 1
offers 1
on 2
one 6
only 1
or 1
order 1
orderly 1
organic 1
original 1
orville 1
osaka 1
other 1
our 1
out 4
over 1
own 1
pair 1
parkelaine 1
part 1
partner 1
people 2
person 1
physical 1
pink 1
place 2
places 1
play 2
plots 1
plucky 1
poe 1
police 2
portal 3
pregnant 1
preliminary 1
presence 1
president 1
pressures 1
prevent 1
procedural 1
producing 1
proofshe 1
prose 3
public 1
queen 1
ranging 1
rather 1
raven 2
read 3
reading 1
real 2
reality 2
realizes 1
red 1
refusing 1
releases 1
remember 1
remembers 1
renegade 1
result 1
retired 1
retrieved 1
retrieves 1
retrieving 1
returns 1
revenge 1
rookie 1
ruler 1
sacrifice 1
sacrifices 1
saving 1
schitt 3
secrets 1
seek 1
seems 1
sent 1
sergeant 2
shakespeare 2
she 8
shell 1
short 1
sidekick 1
sister 1
so 3
some 1
sons 1
specops 1
spurs 1
station 1
stealing 1
stolen 1
subdivision 1
sunderland 1
supply 1
supporter 1
swindon 1
take 1
takes 2
talent 1
tests 1
thanks 1
that 9
the 58
their 2
themselves 1
there 3
they 4
this 1
those 1
though 1
three 1
through 2
thursday 21
time 4
to 32
topping 3
traded 1
trap 1
travel 3
traveller 1
travels 1
trial 1
trouble 1
turning 1
turns 1
two 1
uncle 1
unfinished 1
unknown 1
unpublished 1
until 1
upcoming 1
uses 1
vanishes 1
victory 1
volescamper 1
voltaire 1
vote 1
wanted 1
wants 2
warehouse 1
was 2
way 1
ways 1
well 1
wellmeaning 1
when 2
where 2
which 6
while 3
who 4
why 1
wilbur 1
will 2
win 1
with 7
within 1
without 3
woman 1
word 1
working 1
works 1
worksin 1
world 8
written 1
year 1
yorrick 1
