14017148
/m/06vdr5t
/m/06vdr5t
Marion Bauer
1986
a 7
about 1
adventurous 1
agrees 1
and 6
anyone 1
are 1
as 1
at 1
back 1
boys 1
but 3
called 1
cautious 1
challenges 1
characters 1
cliff 1
climb 1
coward 1
current 1
currents 1
dangerous 1
despite 2
different 1
disappeared 1
dissuade 1
does 2
doing 1
ends 1
eventually 1
fact 1
families 1
find 1
finds 2
forbidden 1
friends 1
from 1
front 1
get 1
gets 1
good 1
grabs 1
has 2
he 5
himself 2
horrible 1
however 1
hurt 1
in 3
into 1
is 4
it 1
joel 8
knows 1
large 1
like 1
lives 1
log 1
look 1
manages 1
more 1
not 3
of 1
out 1
pull 1
race 3
responsible 1
river 3
rock 1
safety 1
secret 1
seem 1
so 1
starved 1
strong 1
sucked 1
suggests 1
swimmer 1
swimming 1
that 2
the 6
their 1
this 1
to 9
tony 8
tries 2
turns 1
two 1
unsafe 1
until 1
up 1
very 2
want 2
when 1
who 3
winning 1
with 1
yet 1
