32176086
/m/0gx_q_x
/m/0gx_q_x

2010
{"/m/01hmnh": "Fantasy"}
a 2
after 1
an 1
and 5
at 1
attends 1
balls 1
become 1
befriends 1
being 1
breton 2
bringing 1
budding 1
cards 1
christian 2
closer 1
completed 1
corley 1
countries 1
country 1
creature 1
curse 2
dance 1
dancing 1
danelaw 1
dangerous 1
eleven 1
ellen 1
exchange 1
finds 2
forced 1
forever 1
freed 1
from 1
going 1
had 1
hapless 1
has 1
her 4
herself 2
home 1
hopes 1
in 6
ionia 1
is 1
king 1
late 1
maid 1
make 1
midst 1
mother 1
named 1
nations 1
nothing 1
of 7
off 1
only 1
other 1
participating 1
play 1
poppy 4
prince 1
princes 1
princess 1
princesses 1
program 1
quickly 1
relationship 1
relatives 1
revenge 1
she 1
since 1
sisters 1
soon 1
spend 1
stays 1
stone 1
stop 1
sure 1
sworn 1
targets 1
the 9
their 1
three 1
time 1
to 4
under 1
vindictive 1
westfalin 1
where 2
who 2
will 1
with 1
years 1
