14298413
/m/03c_sgm
/m/03c_sgm
Fanny Fern
1854
a 18
accepts 1
accordingly 1
adopting 1
adores 1
advocate 1
affection 1
ago 1
all 1
along 1
although 1
an 4
and 30
another 1
anyone 1
applies 1
are 1
as 2
at 5
attend 1
autobiographical 1
away 2
back 1
barely 1
barren 1
be 1
because 2
becomes 3
before 1
begrudges 1
best 1
bestseller 1
between 1
bitterly 1
boarding 2
booklength 1
both 2
bread 1
brings 1
brothel 1
brother 2
burgeon 1
but 3
by 1
call 1
can 1
cemetery 1
chapter 1
child 2
coldhearted 1
columnist 1
columns 2
comes 1
comfortable 1
compile 1
composes 1
compositions 1
consider 1
constantly 1
continually 1
continue 1
contracts 1
contributions 1
control 1
creek 1
croup 1
daisy 3
daughters 2
desperate 1
died 1
dies 2
diminish 1
district 1
divided 1
does 1
dr 1
drop 1
duly 1
editor 3
elder 1
ellet 1
employment 1
encouragement 1
every 1
excelled 1
exclusively 1
eyes 1
fails 1
falls 1
fame 1
fan 1
far 1
farm 1
father 2
fatherinlaw 1
fault 1
fever 1
finally 1
financial 1
finds 2
first 2
five 1
flowers 1
floy 1
follow 1
for 10
forcing 1
friend 1
friends 1
from 1
funds 1
garret 1
getting 1
girl 2
give 2
good 2
grandmother 1
grandparents 1
grave 1
great 1
grudgingly 1
hall 4
halls 1
handsome 1
happy 1
harry 7
harshly 1
has 4
hates 1
have 2
he 3
help 3
her 33
him 1
his 3
hit 1
hits 1
hopes 1
hotel 1
house 1
however 1
husband 1
hyacinth 2
idea 1
ill 2
immediately 1
impending 1
impoverished 1
in 10
income 1
independence 1
independent 1
infant 1
influential 1
inlaws 1
insolent 1
into 4
is 11
jealous 1
joy 1
just 1
katy 4
lascom 2
last 1
leaves 1
left 1
life 3
lists 1
little 3
live 1
long 1
looks 1
lost 1
love 1
loving 1
magazine 1
mail 1
making 1
man 2
marriage 2
marries 1
meanwhile 1
meddle 1
might 1
miles 1
milk 1
money 3
more 2
mother 2
move 2
moves 2
mr 5
mrs 2
name 1
named 1
nearly 1
neither 1
nettie 2
new 1
newspaper 1
newspapers 1
night 1
no 2
not 1
note 1
novel 1
now 1
of 9
offer 1
offers 1
old 1
older 1
on 5
one 1
only 4
or 2
out 1
overtures 1
parents 1
pay 1
pen 1
penny 1
per 1
perseveres 1
persuades 1
phases 1
pick 1
piece 1
pieces 1
pins 1
play 1
plenty 1
pouring 1
present 1
pretty 1
prosperous 1
provide 1
publisher 2
publishing 1
purchase 1
ransoms 1
rarely 1
rate 1
reflecting 1
refuses 1
relatives 2
reserved 1
rich 1
rise 1
road 1
ruth 21
sadly 1
samples 2
scene 1
school 1
schoolteacher 1
seamstress 1
searches 1
selection 1
sends 2
sent 1
seriously 1
several 2
she 13
side 2
since 1
sister 1
sits 1
slights 1
slum 1
snub 1
so 2
son 1
soon 1
space 1
stage 1
still 3
store 1
strange 1
subscription 1
take 1
talent 1
talented 1
telling 1
terrible 1
that 1
the 21
them 3
then 3
there 1
therefore 1
they 2
things 1
thinking 1
this 2
thorn 1
three 1
tibbetts 1
time 1
tiny 1
to 17
together 1
too 1
treats 1
twice 1
two 1
typhoid 1
unsuccessfully 1
up 2
very 1
visits 1
walter 2
was 1
wealthy 1
wedding 1
week 2
when 4
where 1
which 1
while 1
who 4
widowhood 1
wife 1
wild 1
will 1
willing 1
window 1
winter 1
with 5
work 1
write 1
writing 2
writings 1
young 1
