10979053
/m/02qx1jp
/m/02qx1jp
Carol Edgarian
1994
{"/m/05hgj": "Novel"}
15 1
a 9
abducted 1
able 1
achieve 1
achieved 1
after 7
afternoon 1
also 1
american 2
among 1
an 3
and 24
another 2
araxie 7
are 2
armenia 1
armenian 8
armenianamerican 2
arms 1
around 1
as 2
at 6
back 1
band 2
bank 1
be 1
beaten 1
becomes 2
begins 1
behind 1
betrayal 1
betrays 1
between 1
book 2
born 1
brings 2
by 4
cafard 1
capable 1
car 1
caravan 2
care 1
casard 12
casards 10
children 1
choice 1
community 2
courtship 1
crash 1
daughter 1
day 1
days 1
death 5
departing 1
depressed 1
desert 2
desire 1
despite 1
dies 2
disintegrates 1
divorces 1
do 1
does 1
draw 1
dream 1
dreams 1
driven 1
drown 1
drowning 1
duduk 2
ellis 2
embracing 1
emerges 1
emigrates 1
end 1
escape 1
euphrates 4
eventually 1
exiled 1
exists 1
family 2
fatal 1
few 1
final 1
find 1
finds 1
food 1
for 4
forcing 1
forgetting 1
forgot 1
forgotten 1
french 1
from 4
front 1
garod 8
garods 2
generation 1
genocide 4
george 3
girl 1
girls 2
given 3
goes 1
gone 1
granddaughter 1
grandmother 1
growing 1
grows 1
had 1
hand 1
harput 1
has 2
have 1
hear 1
her 19
heritage 1
herself 1
hidden 1
highlights 1
house 1
however 2
husband 2
immigration 1
in 6
indignities 1
interact 1
interaction 1
into 4
invaded 1
is 14
island 2
its 1
jump 1
known 1
last 1
later 3
left 1
less 1
lie 1
lies 1
life 3
longer 1
loon 3
lost 1
many 1
marked 1
marries 2
meaning 1
means 1
meets 1
melancholy 1
melanie 1
member 1
men 1
more 1
mother 5
mothers 2
murdering 2
name 11
named 1
near 1
never 1
night 1
no 1
non 1
not 1
nuns 1
occurring 1
odar 1
of 19
offerings 2
officials 1
on 1
once 1
one 2
only 1
opportunity 1
or 2
order 1
original 1
out 1
own 1
pain 1
passing 1
place 1
play 1
playing 1
popularity 1
prepares 1
process 1
rape 1
raping 1
reaches 1
reconcile 1
reconciliation 1
recover 1
recovered 2
recovery 1
recuperating 1
relays 1
remainder 1
remains 1
remembers 1
removed 1
rest 1
rise 1
river 3
same 2
second 1
secure 1
sees 1
seta 17
setas 3
several 3
severely 1
she 5
shortly 1
similar 1
sorts 1
soul 1
states 1
still 1
story 4
structure 1
sword 1
takes 2
task 2
tell 1
tells 1
ten 1
tensions 1
that 3
the 49
then 3
theresa 8
theresas 2
this 3
those 1
three 1
through 1
time 1
to 13
together 1
town 3
turkish 1
turks 3
turn 1
turning 1
twelve 1
two 1
type 1
under 1
unexpectedly 1
united 1
up 3
van 2
verbalize 1
vrej 2
wakes 1
walking 1
wanders 1
was 2
watches 1
water 1
weeks 2
well 1
were 1
what 2
when 3
which 4
while 2
whispers 1
who 1
wholly 1
with 7
without 3
women 3
word 1
yearn 1
yearning 1
years 4
younger 1
