21923196
/m/05p58t0
/m/05p58t0
Cathy Cassidy
2008
12 1
13th 1
a 12
about 3
after 4
afterward 1
again 1
all 1
also 2
an 2
and 33
andy 1
announces 1
anything 1
are 2
arent 1
arm 1
arrives 1
ask 1
at 4
back 1
band 1
because 1
become 1
becomes 1
beer 1
befriend 1
behind 1
best 1
birthday 1
book 1
boy 2
boyfriend 1
breaking 1
bring 1
brings 1
but 6
by 1
call 1
called 3
calls 2
calm 1
child 1
children 1
choudhury 1
class 1
collins 1
come 1
comes 1
comfort 1
completed 1
confident 1
croft 1
crush 1
crying 1
dating 1
didnt 1
ditches 1
do 1
doesnt 6
down 1
drinking 1
drunk 1
edited 1
editor 1
emily 4
ends 1
english 1
even 1
everyone 3
everything 1
except 1
experiment 1
fall 1
falls 1
feet 1
fight 1
finds 1
for 2
forwards 1
found 1
freaks 1
friend 2
friends 3
friendship 1
from 2
get 3
gets 4
ginger 21
girl 1
go 1
hair 1
hairstraighteners 1
hang 1
happened 1
happy 2
has 3
having 2
he 7
her 11
herself 1
him 4
his 3
home 1
hunter 4
hurt 1
idea 1
in 5
is 9
issue 1
it 1
jas 2
just 1
kapoor 2
kiss 1
know 1
later 2
leaves 2
leg 1
lies 1
like 3
likes 2
lonely 1
loss 1
lost 2
magazine 3
make 1
makeup 1
making 1
many 1
me 1
meanwhile 1
meets 1
more 1
mr 4
mrhunter 4
neighbour 1
never 1
new 2
next 1
nice 1
nisha 1
no 1
now 1
of 7
office 1
often 1
old 1
on 3
one 1
only 1
openly 1
out 2
over 1
overweight 1
parents 4
part 1
parties 1
party 5
people 1
photographer 1
picture 4
pictures 1
police 1
popular 1
principal 2
questions 1
red 1
refuses 1
rejected 1
release 1
said 1
sam 6
saying 1
says 2
school 4
scool 1
secretly 1
shannon 18
she 5
shocked 1
should 1
shoulder 1
six 1
smoking 1
so 1
some 1
soon 5
staircase 1
started 3
starts 6
story 1
student 1
students 1
takes 1
taking 1
talks 1
teacher 1
teaching 1
teen 1
tell 1
telling 1
tells 1
than 1
that 10
the 21
their 3
them 1
then 2
they 3
things 1
thinks 3
this 1
though 1
throw 1
to 12
together 1
too 2
tries 1
trouble 1
truth 1
trying 1
under 1
uniform 1
until 1
up 2
upset 2
was 4
wear 1
weeks 1
weight 1
weird 2
what 1
when 3
which 3
who 1
will 1
with 8
words 1
work 1
worried 1
wrongand 1
