13094963
/m/02z68kr
/m/02z68kr
Tess Gerritsen

a 5
accompanied 1
across 1
almost 1
and 4
another 2
are 1
as 1
at 2
be 1
before 2
begins 2
between 1
boston 1
both 1
but 1
by 3
case 1
cases 1
catherine 1
comes 1
concluding 1
connection 2
contact 1
continues 1
copycat 1
cordell 2
could 1
death 1
deranged 1
detective 1
diana 1
died 1
doctor 1
earned 1
elena 1
establishes 1
fashion 1
gwadowski 1
had 1
hands 2
has 1
he 1
her 1
herman 1
him 2
his 2
in 1
investigate 1
is 2
jane 1
kill 2
killed 1
killer 1
knowledge 1
lives 1
may 1
meanwhile 1
medical 1
modus 1
moore 3
murder 2
murders 1
new 1
nickname 1
nina 1
no 1
note 1
of 5
on 1
opens 1
operandi 1
or 1
ortiz 1
perplexed 1
peyton 1
previous 1
psychopath 1
rizzoli 3
same 1
save 1
sent 1
serial 1
several 1
she 2
soon 1
stalking 1
starting 1
sterling 1
story 1
streets 1
surgeon 4
systematically 1
targeting 1
terrifying 1
that 2
the 15
these 1
third 1
thomas 2
tied 1
to 4
torture 1
trail 1
trauma 1
two 2
up 1
using 1
vast 1
victim 1
vulnerable 1
whatsoever 1
which 1
while 1
who 1
with 2
women 1
works 1
year 1
years 1
