3989606
/m/0bbb2d
/m/0bbb2d
Doranna Durgin
2003-02-01
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 9
acquiring 1
act 1
action 1
aggression 1
aid 1
allow 1
allows 1
an 2
ancient 1
and 9
angel 11
angeles 1
angelimpersonator 1
approached 1
are 1
area 1
arrives 1
as 5
associates 1
at 2
attempt 1
bad 1
battle 2
be 3
been 1
bothering 1
burial 1
but 3
by 4
called 1
caritas 1
caused 1
causes 1
celebrities 1
chased 1
client 2
confrontation 1
contains 1
continues 1
controlled 1
cordelia 1
cordy 1
curious 1
david 3
day 1
days 1
death 2
decomposes 1
defeating 1
demon 2
demons 5
desperate 1
destroyed 1
didnt 1
died 1
dies 1
dimension 1
disintegrate 1
distrustful 1
does 3
doesnt 1
during 2
early 1
emissions 1
emotions 1
ending 1
enough 1
even 1
every 1
fallen 1
false 1
feelings 1
final 1
focus 1
for 1
found 1
fred 1
from 1
gang 1
gets 2
getting 1
give 1
giving 1
have 1
he 5
heightening 1
help 1
him 1
his 4
holding 1
home 1
honoured 1
hostility 2
identity 1
impersonate 1
impersonating 1
impersonator 1
in 7
infecting 1
investigations 1
is 4
it 2
just 1
kills 1
later 1
learn 1
life 1
local 1
long 1
lorne 1
los 1
man 2
mass 1
meanwhile 1
memorial 1
mojo 1
moment 1
monster 1
more 1
nature 1
nearly 1
needs 1
no 1
normally 2
not 1
notion 1
now 1
of 10
off 1
other 1
out 1
owners 1
pacifistic 1
photography 1
possesses 2
power 1
quiet 1
race 1
rage 3
rather 1
real 1
reason 1
reasons 1
recently 1
recording 1
reports 1
research 1
revealed 1
sacrifice 1
save 1
saw 1
scam 1
seems 2
skins 1
so 1
some 1
something 1
soon 1
spells 2
spilling 1
start 1
stolen 1
stone 8
stones 2
student 1
surrenders 1
than 1
that 2
the 27
their 3
them 2
thing 1
those 1
through 1
thus 1
to 12
trip 1
truly 1
under 1
understand 1
until 1
up 1
upon 1
using 1
various 1
victim 1
want 1
warrior 1
wave 1
what 1
when 1
which 1
while 1
who 2
whose 1
why 2
without 1
worried 1
worthy 1
would 1
