7049805
/m/0h1_4j
/m/0h1_4j
Christopher Tolkien
2007-04-16
a 53
able 2
about 3
absent 1
absentee 1
accept 1
accompanied 1
according 1
account 1
acknowledge 1
across 2
affection 1
affray 1
after 12
afterward 1
again 1
against 5
agree 1
alive 2
all 7
allied 1
allowed 1
almost 2
alone 4
also 2
although 2
amon 6
among 6
an 13
ancestral 1
and 122
andrg 1
angband 4
angry 1
another 1
any 3
anything 1
appearance 1
appeared 2
appended 1
approach 1
approaches 2
are 11
arms 1
army 1
arrival 1
arrives 1
arrogant 1
as 12
ask 1
assault 2
at 11
attacks 1
attempt 3
attempted 1
attempts 1
attraction 1
avoid 1
away 4
back 4
band 11
bank 1
base 1
battle 4
battles 1
be 5
become 3
becomes 5
been 5
befall 1
before 7
befriending 1
begins 2
behind 2
being 2
beleg 35
believes 2
believing 1
belly 1
below 1
beneath 1
better 1
between 1
bid 1
bids 1
bind 1
birth 1
bitterly 2
blade 1
blank 1
blood 1
body 1
bonds 1
both 1
boyhood 1
brandir 9
breaking 1
brethil 5
bridge 1
bring 1
brings 1
broken 1
brother 3
built 1
burial 1
burns 1
bury 1
but 16
by 15
cabedenaras 1
camp 1
can 1
canonical 1
captain 1
captains 1
captive 3
captors 1
capture 3
captured 1
carry 2
cause 1
caves 4
certain 1
chained 1
chase 1
chasing 1
chief 1
chieftain 1
child 1
children 2
choose 1
chooses 1
citizens 1
city 2
cliff 2
collapses 1
come 1
comes 5
coming 1
command 2
commander 1
company 5
compelled 2
compensation 1
conceals 1
concerning 1
concocted 1
conditions 2
conduct 1
confirms 1
considerable 1
considering 1
continue 1
continues 1
correcting 1
council 1
counsel 2
counsellor 1
court 1
crazed 2
crdan 1
crime 1
crossing 2
cruel 2
cruelty 1
crutch 1
crying 1
curse 1
cut 3
daring 1
dark 2
daughter 3
day 1
days 1
dead 2
death 8
deceived 1
decides 1
declares 1
deeds 1
defeat 1
defeats 1
defend 1
defies 1
deliver 1
demand 1
depart 2
departs 1
departure 1
despite 3
determines 1
develop 1
dies 3
directed 1
disastrous 1
discovering 1
dish 1
distance 2
does 2
doing 1
done 1
doom 3
dorcarthol 1
doriath 17
dorlmin 5
down 1
dragon 8
draws 1
drive 1
drives 1
during 1
dwarf 1
dying 3
earlier 1
earns 1
easily 1
easterlings 2
effect 1
effectively 1
effort 1
efforts 1
eithel 1
either 2
eledhwen 1
elf 6
elfmaid 1
elicit 1
elven 1
elves 7
elvish 4
employ 1
enchants 2
encounter 1
encounters 1
ends 1
engaged 2
enmity 1
enough 1
enraged 1
entering 1
entire 2
entrance 1
establish 1
established 1
even 2
eventually 5
everything 2
evidence 2
evil 4
except 1
excepting 1
expedition 1
explains 1
explore 1
exterminate 1
extract 1
extravagant 1
eyes 2
face 3
faceto 1
fact 1
faints 1
fall 2
fallen 1
falls 3
family 2
fate 2
fatigue 1
favour 1
fearing 1
feelings 1
feels 2
feet 1
few 3
field 2
fifty 1
fight 1
finally 1
find 4
finding 1
finds 3
finduilas 5
first 1
five 1
fixed 1
flash 1
flee 1
folk 1
follow 1
followed 1
following 1
follows 2
foot 1
footnote 1
for 22
force 3
forced 3
forces 4
forcing 2
forest 3
forgetfulness 1
forsake 1
fosterson 1
found 1
frenzy 2
friend 3
fringes 1
from 25
fuels 1
fulfilling 1
full 1
fullscale 1
further 1
gains 1
gang 1
gathering 1
gaurwaith 1
general 1
gentle 1
gives 1
giving 1
glaurung 10
go 1
gondolin 2
gorge 1
gradually 3
grants 1
grave 2
great 4
grief 3
group 4
grows 3
guilt 1
gurthang 2
gwindor 10
habits 1
had 8
haleth 1
hall 1
halls 1
hand 3
hands 1
happened 1
has 10
hasten 1
hate 1
hatred 1
have 4
having 3
he 22
headquarters 1
healed 2
hear 2
heard 1
help 1
helpless 2
helplessly 1
her 23
hers 1
herself 3
hidden 4
hide 1
high 1
highelven 1
hill 6
hilltop 1
him 29
himself 3
his 44
hithlum 1
hobbling 1
holds 1
home 1
homestead 1
hope 1
hopes 1
horrified 1
horses 1
host 1
how 1
however 7
hrin 9
humble 1
humiliated 2
huor 1
hurls 1
husband 2
identity 1
illthoughtout 1
imprisonment 1
imprisons 1
in 54
incestuous 1
incites 1
increases 1
infancy 1
information 3
informs 2
infuriates 1
inhabit 1
injuring 1
innocent 1
innocently 1
instead 1
insult 1
intention 1
into 9
is 33
its 3
ivrin 1
jealousy 1
join 1
joins 1
journey 2
judgment 2
jump 1
just 2
kept 1
killed 3
killing 1
kills 4
kind 2
king 5
kinship 1
knew 1
know 1
knowing 2
knows 1
lalaith 2
lame 1
land 1
last 3
late 1
later 2
lawless 2
lax 1
lays 1
lead 1
leader 1
leaderless 1
leading 4
leads 3
leaps 1
learn 1
learned 1
learns 1
leave 3
leaves 2
leaving 1
led 1
left 2
legendarium 1
length 2
letting 1
lie 1
life 5
lightning 1
like 1
likely 1
live 1
lived 1
lives 2
living 2
location 2
long 7
lord 2
lost 4
love 4
loving 1
mablung 9
mad 1
made 1
main 1
maintain 1
malice 1
maltreated 1
managed 1
many 2
marches 1
married 1
marries 1
marry 1
master 1
meanwhile 3
meets 1
members 1
memory 1
men 9
mercy 1
message 1
messengers 2
might 1
mighty 1
mind 1
mission 1
mistaking 1
mistreat 1
mistrusting 1
misunderstanding 1
mm 12
monetary 1
months 1
more 4
morgoth 13
morning 1
morwen 10
mother 3
mountain 1
murdered 1
must 2
mutilated 1
mutual 1
naked 1
named 1
nargothrond 11
narrative 1
nature 1
near 1
nearby 2
nellas 2
never 2
nevertheless 1
news 2
next 2
nienor 18
night 1
no 1
northmarches 1
not 10
nothing 1
now 3
number 1
of 107
off 4
offer 1
offers 1
often 1
on 17
once 2
one 4
only 8
onto 1
opens 1
or 6
orc 2
orcs 12
order 1
orders 1
original 2
orodreth 3
other 5
others 1
out 4
outcast 1
outlaw 2
outlawing 1
outlaws 6
over 3
overheard 1
overpowers 1
overrules 1
overrun 1
overtaking 1
overwhelmed 1
own 7
pain 1
pardon 4
part 1
participate 1
pass 1
passage 1
passes 1
past 1
peace 1
people 1
perilous 1
permanent 1
permitted 1
personally 1
pettydwarf 1
pettydwarves 2
pillaging 1
place 4
places 1
plans 1
pleas 1
point 3
position 1
possess 1
power 1
pregnancy 1
pregnant 1
presence 1
prevent 2
prevents 1
previously 1
pride 3
prideful 1
prisoners 3
proceed 2
proceeding 1
proceeds 1
proclaimed 1
promise 1
promote 1
property 1
protect 2
proud 1
provocation 1
pulls 1
pursues 1
pursuit 2
put 1
raiding 1
ransoms 1
rash 1
rather 1
ravine 2
rdh 6
reach 1
reaches 1
reality 1
realizes 1
realizing 1
realm 2
reception 1
reciprocate 1
recognizing 1
recounts 1
recovers 2
refused 1
refuses 1
refusing 1
regained 1
regains 1
regarding 1
rejoin 1
rejoins 1
relationship 1
release 1
released 1
remains 4
remembers 2
renames 1
repeatedly 1
request 1
rescue 1
rescuing 1
resent 1
resistance 1
respect 1
rest 1
restrains 1
retract 1
retreat 1
return 6
returning 1
returns 7
reveal 1
riders 2
rides 1
river 1
rock 1
romantic 1
rouses 1
rudely 1
ruins 2
rumours 1
run 1
running 1
runs 1
rushes 1
sack 1
sador 1
saeros 9
safe 1
safety 2
sanctuary 1
scattered 1
scattering 1
scatters 1
scorn 1
scorns 1
scouts 2
sea 1
second 1
see 2
seek 1
seeking 1
seeks 1
seems 1
seen 2
sees 1
selfcentered 1
sends 3
senseless 1
senses 1
sent 1
separated 2
serve 1
set 1
several 3
she 17
sheltered 1
short 1
shortly 1
should 2
shouting 1
siblings 1
side 1
signs 1
since 1
sister 3
sisterly 1
sleeping 2
slips 1
smoothly 1
snide 1
so 3
some 2
son 3
soon 2
speaking 2
speech 1
spell 1
spite 2
spreads 1
spurts 1
stabbed 1
stabs 1
standards 1
starving 1
state 1
stay 2
stemming 1
stone 1
stop 2
story 1
stranded 1
strips 1
strong 1
strongbow 1
stronghold 1
submitting 1
succeeds 1
successful 1
succumbing 1
sunset 1
swear 1
swoon 1
sword 5
taeglin 1
take 1
taken 6
takes 3
tale 3
taunting 1
tears 1
tenacious 1
tending 1
terrible 1
terrified 1
than 1
that 20
the 190
their 5
them 8
themselves 1
then 4
there 5
they 10
thingol 7
this 5
those 1
though 2
thoughtful 1
threw 1
through 5
throw 1
throwing 1
throws 2
time 3
to 97
tolkien 1
too 1
top 1
torments 1
torn 1
torture 1
tortured 2
torturing 1
towards 4
town 2
traced 1
traces 1
tracks 1
transpired 2
treats 1
tree 1
trial 3
tricks 1
trin 77
troops 1
true 2
truth 1
trying 1
tumhalad 1
turambar 7
twisted 1
two 3
unawares 1
under 1
unfortunate 1
unheardof 1
unkempt 1
unnumbered 1
until 3
unwilling 2
up 1
upon 5
use 1
vantage 1
venomous 1
verge 3
version 2
victories 1
visit 1
vital 1
vows 1
waiting 4
wakes 1
wanderings 1
want 1
warfare 1
warn 1
warned 1
warrior 1
was 7
washed 1
watches 1
water 1
way 1
weeping 1
weeps 2
well 1
were 1
what 5
when 13
where 9
whereby 1
which 10
while 6
who 17
whole 1
whom 1
wide 1
wielding 1
wild 5
wilderness 1
will 3
wish 1
wishes 1
wishing 1
with 21
without 4
witless 1
witness 1
witnessed 2
wolffolk 1
woman 1
women 1
woodmen 1
woods 5
woodworker 1
word 1
words 3
would 1
wounded 2
wounds 2
year 2
years 4
young 1
