3965342
/m/0b9012
/m/0b9012
Henrik Ibsen

a 6
about 2
accept 1
accuses 1
acknowledged 1
acknowledges 1
actions 1
actually 1
admits 1
adoptive 1
after 2
agenda 2
agree 2
also 1
although 1
and 13
announces 1
any 1
approach 1
are 2
as 4
asks 1
at 2
attempts 2
audience 1
be 1
beata 4
beats 1
because 2
becomes 3
before 1
begins 1
believing 1
betrayal 1
between 1
body 1
both 1
breakdown 1
brendel 2
brotherinlaw 1
but 5
by 5
calls 1
calmly 1
can 3
cannot 2
cast 1
caused 1
characters 1
christian 1
citizens 1
come 1
committed 1
committing 1
community 1
completely 1
conceive 1
concludes 1
confirmed 1
confronting 1
considered 1
consumed 1
contributed 1
dead 1
decision 1
deeper 1
demonstrates 1
denouncing 1
denying 1
depths 1
despair 1
destruction 1
devotion 1
didby 1
die 1
do 1
drove 1
drunk 1
each 1
elected 1
encounter 1
encouraged 1
enraged 1
erasing 1
escape 1
even 3
faith 1
family 1
father 1
fell 1
first 1
for 1
former 1
forward 1
freedom 1
friend 3
from 1
going 1
government 1
greatly 1
guarded 1
guilt 3
guilty 1
gutter 1
had 1
harshly 1
has 4
have 2
he 12
helseth 1
her 16
herself 1
highly 1
him 6
his 16
home 1
house 1
housekeeper 1
however 1
husband 1
ideals 2
if 1
illness 1
in 15
incest 1
incident 1
increase 1
initially 1
insists 1
instructions 1
intends 1
into 3
is 3
issuing 1
it 2
its 1
join 1
jumping 2
kill 1
kroll 4
lack 1
later 1
latter 1
leads 1
leaves 1
letter 1
live 1
lives 1
local 2
longer 1
lost 1
love 3
many 1
marriage 2
may 1
member 1
memory 1
mental 1
millrace 2
moral 1
mortensgaard 4
moved 1
movement 1
mrs 2
natural 1
needs 1
neither 1
newly 1
newspaper 2
no 1
nor 1
not 3
now 3
of 14
off 1
on 1
one 1
opens 1
or 1
other 1
outright 1
over 1
own 2
pair 1
parent 1
part 1
past 1
pious 1
plain 1
plans 1
platonic 1
play 4
plot 1
policies 1
political 2
power 1
pragmatic 1
preach 1
previously 1
professing 1
prominent 1
proposal 1
proposing 1
prove 1
public 1
rather 1
reality 1
rebecca 7
recommends 1
recovery 1
reform 2
reformist 1
rejects 1
relationship 2
respectable 1
respected 1
returning 2
reveals 1
revolutionary 1
roots 1
rosmer 18
rosmersholm 2
rulingclass 1
rumors 1
sabotage 1
same 1
says 1
schoolmaster 1
screaming 1
seems 1
sees 1
sent 1
she 9
show 1
since 1
somewhat 1
still 3
such 1
suggestion 1
suicide 3
suicideinitially 1
support 3
supposedly 1
survived 1
suspecting 1
suspicion 2
take 1
taken 1
terms 1
terror 1
than 1
that 9
the 34
their 1
them 1
themselves 1
then 1
there 2
they 3
this 2
though 1
throughout 1
time 1
to 21
together 2
tool 1
town 1
trust 1
truth 1
ultimate 1
unfaithful 1
unfounded 1
up 1
upsets 1
urging 1
using 1
was 3
water 1
way 3
what 1
when 2
where 1
which 2
while 2
who 3
wife 5
will 2
with 7
woman 1
work 1
year 1
years 1
