6833948
/m/0grn_c
/m/0grn_c
Terry Brooks
1991-03
a 19
abilities 1
able 1
about 1
above 2
actually 1
addershag 3
after 2
against 1
agony 1
agree 1
alive 1
all 1
allanon 2
also 2
amazingly 1
an 1
ancient 1
and 36
any 1
apparently 1
appearances 1
appears 1
are 1
arm 2
arms 1
as 8
asks 1
asphinx 2
assassin 1
at 1
attacking 1
attempts 1
attracted 2
attraction 1
avenge 1
avoiding 1
away 1
back 3
beautiful 2
because 3
become 1
becomes 2
bed 1
been 3
before 2
belk 2
best 2
bids 1
black 2
blade 1
blue 1
body 1
boh 5
book 1
both 1
bound 1
break 1
breaks 1
briefly 1
bringing 1
broken 1
brother 1
building 1
but 1
by 7
called 3
calls 1
can 1
care 1
carry 2
castle 1
caves 1
chased 1
child 1
choice 1
city 3
cliff 2
cliffs 1
coax 1
cogline 4
coll 2
coming 1
communicates 1
completely 1
confront 2
confronted 1
confused 1
consequence 1
could 1
covering 1
creature 1
creeper 1
culhaven 2
dall 3
dangerous 1
daughter 2
days 3
death 1
dees 3
demise 1
dies 1
different 1
disintegrates 1
dispatches 1
divide 1
does 2
doesnt 2
doing 1
domed 1
dove 1
druid 3
druids 1
dust 1
earth 1
edge 1
eldwist 5
elements 1
elfstone 2
ell 12
elves 1
emotional 1
enraged 1
escape 2
ever 2
everything 1
existence 1
fake 1
falls 2
far 1
farewell 1
fate 1
fends 1
fights 1
figure 1
final 1
finally 4
find 4
finds 1
fire 1
flees 1
focusing 1
for 7
form 1
four 2
freeing 1
friend 1
from 6
fulfill 1
garden 1
gardens 1
garth 2
get 5
gigantic 1
given 1
gnome 1
go 6
goes 2
going 1
got 1
grabbed 1
grimpen 2
grint 1
grows 1
had 2
hall 2
handful 1
happen 1
happening 1
happens 1
have 3
having 1
he 11
healers 1
heals 1
hearing 1
hears 1
heart 1
help 1
her 16
herself 1
him 6
his 13
histories 1
home 2
hope 1
hoping 1
horner 3
hostage 1
imprisoned 2
in 15
including 1
instant 1
intentions 1
into 3
is 15
it 3
its 1
journey 1
journeys 1
just 1
keeping 1
kill 2
killed 4
killing 1
kind 1
king 6
kings 2
knew 1
known 2
land 1
lands 2
last 1
lays 1
leah 6
learn 1
leave 1
leaves 2
leaving 1
left 2
letting 1
life 1
light 1
like 1
long 1
lost 2
magic 3
magical 1
make 1
makes 2
making 1
maw 1
meade 1
meanwhile 1
meet 1
men 1
mentioned 1
messengers 1
met 1
might 1
miracles 1
missing 1
morgan 10
mortal 1
must 1
no 1
normal 1
north 3
of 41
off 6
old 1
on 4
one 1
only 3
others 1
out 10
over 1
par 2
paranor 2
party 1
path 1
paths 1
pe 12
peninsula 1
people 1
persuaded 1
placed 1
plant 1
poison 1
positively 1
predicament 1
prison 2
prisoner 1
purpose 1
pushes 1
quickening 17
quickly 3
rake 1
reaches 1
realizes 1
realizing 1
recover 1
recovers 1
releases 1
reluctantly 1
request 2
requests 1
resides 1
restore 1
restores 1
retaliatory 1
return 2
returned 1
returns 1
right 1
rimmer 3
river 4
rocs 1
rumor 1
rumors 1
scions 2
seek 1
seer 1
set 1
settles 1
shade 1
shadowen 1
shannara 3
she 10
sheath 1
shell 1
silver 4
sleep 1
so 3
some 1
somewhere 1
soon 2
south 1
southwatch 1
special 1
spontaneously 1
stabs 1
state 1
steff 1
still 3
stone 5
storlock 1
story 1
suggests 1
surprised 1
surrounding 2
survivor 1
sword 2
take 3
takes 5
taking 2
task 2
tells 2
terrible 1
that 6
the 79
their 1
them 1
then 1
there 3
they 3
thing 1
think 1
this 4
though 4
three 3
through 1
thus 1
to 46
told 2
toll 1
travel 2
trick 1
tries 1
trouble 1
trying 1
turned 1
turns 1
uhl 2
under 1
up 2
using 1
very 1
village 1
visible 1
walker 15
wants 2
ward 2
was 2
way 4
we 1
weak 2
were 1
what 2
when 1
where 1
whereas 1
wherein 1
which 3
while 1
who 5
whole 2
wilderun 1
will 3
with 8
woman 1
worm 1
wren 3
