15262289
/m/03hnjbj
/m/03hnjbj
Gary Blackwood
1998-05-01
{"/m/03mfnf": "Young adult literature"}
a 8
accepted 1
accomplished 1
acquire 1
all 1
an 1
and 4
as 1
assignment 1
back 1
been 1
before 1
between 1
bright 1
caught 1
chamberlain 1
charactery 1
clergyman 1
comes 1
companion 1
company 1
constantly 1
decide 1
deed 1
doesnt 1
dr 1
during 1
even 1
falconer 3
family 1
feels 1
first 1
for 3
fourteenyearold 1
given 2
hamlet 1
happens 1
hasnt 1
he 3
him 1
himself 1
his 4
hopeful 1
however 1
in 3
into 1
is 9
job 1
know 2
language 1
like 1
london 1
long 1
lord 1
making 1
man 1
master 3
men 1
must 1
name 1
named 2
new 1
notebook 1
of 2
off 1
orphan 1
other 1
out 1
part 1
performance 1
play 5
player 1
posing 1
preachers 1
presses 1
previous 1
real 1
reprinted 1
returns 1
ruthless 1
second 1
sermons 1
sets 1
shakespeare 1
shorthand 3
so 1
steal 2
stolen 1
sure 1
taught 1
that 2
the 11
time 1
timothy 1
to 7
try 1
up 1
use 1
wants 2
what 1
when 1
which 1
who 2
widge 8
william 1
with 1
write 1
yet 1
