6797568
/m/0gpfg2
/m/0gpfg2
Tamora Pierce
2000
a 6
about 1
accepted 1
accepts 1
adopts 1
after 1
all 3
allow 1
allowed 3
almost 1
alone 1
also 2
always 1
and 7
apparent 1
appear 1
appears 1
archenemy 1
as 1
at 2
badly 1
be 3
became 1
been 4
beginning 1
begins 1
begs 1
best 1
big 1
book 2
but 1
by 3
calls 1
cares 1
cavall 1
change 1
changed 1
civil 1
claims 1
cleon 2
communicates 1
continue 3
course 1
crush 1
daine 2
day 1
develops 1
does 3
dog 1
drastically 1
during 1
even 1
ever 1
examinations 1
feelings 1
fight 1
finally 1
first 3
for 1
fought 1
fourthyear 1
friendly 1
friends 2
from 1
given 1
has 8
have 2
hazing 1
he 6
heart 1
her 9
him 2
himself 1
hires 2
if 2
interest 1
is 3
it 1
joren 1
jump 2
kel 11
knight 1
lalasa 3
leave 1
left 1
lost 1
maidservant 1
male 1
manages 1
many 1
master 1
meanwhile 1
merric 1
mistress 1
mountain 1
neal 2
niece 1
not 3
nothing 1
occasion 1
of 10
oldfashioned 1
on 3
once 1
one 3
only 1
ordeals 1
others 1
owen 1
pages 2
palace 1
pass 1
people 1
proper 1
ragtag 1
really 1
return 2
seems 1
selfacclaimed 1
servants 1
she 11
shows 1
since 1
some 2
squire 1
squires 1
stay 1
stiff 1
still 1
stone 1
survived 1
take 2
test 1
that 5
the 18
them 2
think 1
this 1
though 2
through 2
to 18
train 1
training 4
treated 1
trepidation 1
trust 1
uncle 1
very 1
wants 1
way 1
which 1
while 1
who 2
wildmage 1
will 1
with 3
wonders 1
worry 1
wyldon 1
years 2
