15345332
/m/03m5ql4
/m/03m5ql4
Simon Hawke
1997
15 1
175 1
176 1
20 1
a 8
abducted 1
about 2
actions 1
acts 1
all 1
also 3
and 13
answer 1
are 1
around 2
as 3
barn 2
been 1
begins 1
best 1
body 1
boy 1
but 2
by 2
cannot 1
care 2
cat 1
child 2
christmas 1
close 1
contracted 1
could 1
dangerous 1
decides 1
deserted 1
dismembered 1
drugs 1
dunsany 3
early 1
end 2
escape 2
eve 1
evolving 1
fails 1
fear 1
fellow 1
fifth 1
finds 2
five 3
for 5
forced 1
found 2
francisco 1
freedom 1
frequents 1
from 4
gained 1
get 1
girl 1
grown 1
hal 2
happened 3
has 3
have 3
he 10
hearing 1
hearted 1
him 3
himself 2
his 6
hiv 1
house 1
ideas 1
in 5
incarcerated 1
incriminate 1
inevitably 1
inquisitive 1
into 1
involves 1
is 11
jamieson 4
joni 1
justify 1
kidnapper 1
kidnapping 1
kind 1
live 1
living 1
looking 1
louise 1
lsd 2
married 1
meets 1
michael 1
missing 2
mogul 1
monstrous 1
mouse 1
much 1
murder 1
murderer 1
musician 2
mysterious 1
name 2
near 1
net 1
never 1
now 2
obsessed 1
of 17
older 1
on 1
one 2
original 2
out 1
owner 1
parents 1
parts 1
past 1
paul 2
person 1
physics 1
place 1
plans 1
police 1
possesses 1
prison 1
probe 1
problem 1
professional 1
quantum 1
quinn 5
ransom 1
realise 1
recording 1
release 1
remember 1
rest 1
reunite 1
rich 1
san 1
schrdinger 1
seattle 1
sex 1
sister 1
situation 1
software 1
solitary 1
still 2
strongly 1
student 1
students 2
studio 1
successful 1
take 2
taken 1
that 2
the 26
them 2
there 1
to 12
towards 2
tries 1
trying 1
unknown 1
up 1
upon 1
use 1
uses 1
very 1
view 1
visiting 1
washington 1
wealth 1
what 3
whereabouts 1
which 1
who 4
will 1
wishing 1
with 1
woman 2
woodland 1
woods 2
world 1
year 1
years 1
young 1
