6286677
/m/0f_jfh
/m/0f_jfh
Sarah Dessen
2002-05-27
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 6
about 4
all 1
always 1
an 1
and 7
another 1
are 1
back 1
be 1
been 1
before 2
begins 1
believe 1
born 1
break 1
bring 1
brother 1
but 4
by 1
called 1
cant 1
car 1
care 2
caring 1
cheating 1
claims 1
college 1
connection 1
consequently 1
date 1
dating 1
day 1
dexter 4
died 2
does 1
doesnt 3
eighteen 1
end 1
engaged 1
eventually 1
exists 1
extremely 1
falling 1
father 1
favorite 1
feel 1
fifth 1
finds 2
fling 1
for 3
friends 1
get 2
getting 2
girl 1
guy 1
had 1
having 1
he 7
her 7
herself 3
him 4
honest 1
how 1
husband 1
in 3
is 11
just 1
last 1
least 1
leave 1
left 1
long 1
love 2
lullaby 1
many 1
married 1
meanwhile 1
meets 1
messy 1
mother 2
musician 2
never 1
new 1
now 1
of 3
old 1
one 1
only 1
open 1
overhears 1
own 1
past 1
people 1
persistent 1
popular 1
problems 1
randomly 1
realizes 1
really 1
relationships 1
remy 6
rid 1
salesman 1
saw 1
saying 1
second 1
she 11
short 1
slowly 1
somehow 1
something 1
song 1
start 1
summer 1
surprised 1
that 3
the 4
their 1
they 4
thinking 1
this 1
time 1
to 6
together 1
traits 1
truly 1
two 1
up 1
want 1
wants 1
was 1
when 1
which 1
who 1
with 3
year 1
