14396032
/m/03d2dlp
/m/03d2dlp
Aury Wallington

a 2
ability 1
activities 1
after 1
ago 1
and 2
andrews 1
as 1
at 1
back 1
but 1
charlene 1
charlie 1
chronicles 1
destined 1
die 1
during 1
enhanced 1
episode 1
experience 1
fallen 1
first 1
hands 1
has 1
he 1
himself 1
hiro 2
hopes 1
in 4
is 1
killer 1
life 1
love 1
man 1
memory 1
months 1
nakamura 1
novel 1
of 4
place 1
saving 1
season 1
seen 1
serial 1
six 1
stop 1
superpowered 1
sylar 1
takes 1
the 7
time 3
to 2
transports 1
travel 1
waitress 1
who 1
whom 1
with 3
young 1
