2945288
/m/08fct1
/m/08fct1
Marianne Curley

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
16 1
18 1
a 7
about 1
acquaintance 1
actually 1
agelessness 1
allows 1
alone 1
also 2
an 3
and 16
angel 1
anywhere 1
apart 1
appeal 1
appear 1
apprentice 1
are 3
arkarian 6
around 1
at 3
attached 1
aware 2
awoke 1
back 3
battle 2
be 2
became 1
because 3
becomes 1
been 1
begins 1
behind 1
being 1
between 1
blue 1
body 2
book 2
brother 2
but 4
by 2
call 1
called 1
can 4
carter 1
chaos 2
citadel 2
close 1
come 1
comes 1
common 1
continues 1
controlling 1
coordinator 1
couldnt 2
day 1
death 1
doesnt 1
dying 1
ethan 14
evil 3
eyes 1
failed 1
falls 1
feature 1
fight 1
final 2
first 2
follow 1
following 1
for 3
foreshadowing 1
friendship 2
get 3
getting 1
girl 1
given 1
go 3
goddess 2
goes 1
good 1
grew 3
group 1
guard 4
had 2
hair 1
has 5
he 7
heal 1
hear 1
heard 1
helped 1
her 13
him 4
his 4
however 1
in 13
interest 1
into 2
is 11
isabel 11
isabelle 1
it 3
jimmy 1
just 1
king 2
know 1
knows 1
later 1
leader 1
longtime 1
love 1
make 1
many 1
marduke 1
matt 3
may 2
member 1
minds 1
minion 1
mission 1
moment 1
mr 1
must 1
name 2
named 3
neriah 1
never 1
nine 2
not 1
now 1
of 17
on 1
one 3
only 5
opposes 1
or 1
order 2
organization 1
others 1
outdoors 1
own 1
palace 1
people 1
play 2
point 2
portrays 1
power 4
powers 2
protagonist 1
read 1
ready 2
relatively 1
remains 2
richard 1
rochelle 3
rooms 1
said 2
save 1
saved 1
saying 1
school 2
shaun 1
she 7
show 1
sister 1
sleep 2
soon 1
soul 1
soulmate 3
souls 1
standing 1
story 3
strong 2
sure 1
switches 1
teleport 1
tells 1
that 7
the 31
their 5
them 3
then 1
they 3
thinking 1
this 6
thought 1
three 1
through 2
time 3
to 19
train 2
training 1
tried 1
truly 1
trust 1
truthseer 1
under 1
unfortunately 1
until 1
up 1
very 2
views 1
violet 1
was 6
way 1
weary 1
weeks 1
were 1
what 1
when 3
which 1
while 2
who 4
whom 1
wings 1
with 6
witnessing 1
would 1
young 1
