11389275
/m/02r9vv0
/m/02r9vv0
Frederic Dannay

a 4
along 1
an 3
and 5
arriving 1
as 3
asked 1
at 1
awake 1
be 1
beds 1
been 1
black 5
by 1
called 1
died 2
disembarks 1
door 1
down 1
drives 1
eccentric 1
ellery 2
england 1
existed 1
fabled 1
family 3
father 3
figure 1
for 1
friend 2
from 3
gold 2
gothic 1
group 2
happened 1
has 4
heiress 1
help 1
her 7
hoard 1
hours 1
house 6
in 3
inherit 1
interests 1
is 4
it 1
just 1
lawyer 1
learns 1
liner 1
magic 1
meet 1
meets 1
must 1
never 1
new 1
next 1
nightfall 1
ocean 1
of 4
off 1
order 1
out 1
physician 1
pretty 1
protect 1
queen 1
reach 1
reunited 1
separated 1
shake 1
she 4
since 1
sinister 1
small 1
stone 1
suggestions 1
that 1
the 10
they 2
though 1
to 5
toddler 1
trappings 1
ugly 1
uninhabitablethe 1
unpleasant 1
vanished 1
victorian 1
what 1
when 1
where 1
who 1
whom 1
with 2
years 1
york 1
young 1
