10274046
/m/02q73n3
/m/02q73n3
Walter Montagu

a 6
actually 1
agenor 2
agenorgenorio 1
agenorgenoriopalante 2
also 1
an 1
and 4
argue 1
as 3
at 1
basilino 3
basilinomoramente 1
be 3
beauty 1
becomes 1
bellesa 2
bellesasapphira 1
betrothed 1
between 1
bosom 1
both 2
but 1
by 4
calls 1
can 1
centers 1
certainly 1
characters 1
chaste 1
close 1
comedy 1
community 1
complicated 1
deals 1
debate 1
dedicated 1
distressed 1
end 1
ends 1
entering 1
extended 1
fact 1
fall 1
features 1
fidamira 2
for 3
friend 1
genders 1
genorio 1
gets 1
have 1
henrietta 1
heroine 1
himself 1
his 2
ideal 1
in 2
interpreted 1
is 7
it 1
king 1
longlost 1
lost 1
love 4
lovers 1
maria 1
marital 1
marriage 1
marriages 1
marries 2
martiro 1
masque 1
mdash 3
melidoro 1
minds 1
miranda 1
montagu 1
moramente 2
much 1
mythical 1
named 1
nature 1
navarre 2
of 12
on 2
original 1
over 1
palante 1
paradise 4
pastoral 1
peaceful 1
piece 1
platonic 3
play 2
played 1
plot 1
prince 2
princess 2
pseudonyms 1
queen 1
receptacle 1
refuge 1
remains 1
revealed 2
ruled 1
same 1
sapphira 1
shared 1
she 2
shepherd 3
since 1
sister 2
son 1
speaks 1
such 1
suggesting 1
take 1
tendency 1
text 1
that 1
the 20
to 5
triumph 1
typical 1
union 1
unrequited 1
upon 1
was 1
when 1
while 2
who 5
with 2
women 1
work 1
