17725426
/m/047gbzc
/m/047gbzc
Chris Riddell
1999-11
a 17
abandon 1
able 1
about 1
academe 1
academic 1
academy 1
accomplice 1
across 1
actually 1
affection 1
after 3
against 1
all 1
already 1
also 3
although 2
an 2
ancient 1
and 26
any 1
anything 1
approaching 1
are 6
arrange 1
as 3
attacks 1
badly 2
barkwater 1
be 5
became 1
become 1
becomes 1
been 1
before 2
below 1
between 1
beyond 1
board 1
boltjaw 1
bond 1
book 3
both 1
break 1
breaking 1
but 3
by 11
cannot 1
captain 2
cargo 1
caterbird 1
chains 1
chaser 1
chases 1
chest 1
city 3
cloud 9
collapses 1
complete 1
concludes 1
confronted 1
crash 1
creating 1
crew 8
damaged 1
dangerous 1
darkness 1
deal 1
debts 2
deepwoods 1
deposit 1
dirty 1
disastrous 1
discover 1
discovers 1
disorientating 1
dispose 1
doesnt 1
driven 1
due 1
during 2
each 1
edge 1
edgedancer 1
effects 1
encounter 1
ends 1
enter 1
erase 1
even 1
ever 1
except 1
experiences 1
extent 1
failed 1
farther 1
fatal 2
father 3
fighting 1
filed 1
find 1
first 1
flight 1
floating 2
fluke 1
fly 1
flying 1
for 3
forbids 1
forces 1
form 1
former 1
fraud 1
free 1
from 3
full 1
gathered 1
getting 1
golden 1
great 2
greedy 1
guide 1
had 2
has 4
he 9
help 1
helps 2
high 1
himself 1
his 12
hitherto 1
horsefeather 2
hubble 1
if 2
immortal 1
in 12
infested 1
injured 3
injuries 3
insane 1
interest 1
internal 1
into 4
introduced 1
is 10
it 4
its 4
journey 1
kept 1
killed 2
knight 1
knights 1
know 1
landing 1
later 2
league 1
leave 1
led 1
light 2
logs 1
long 1
lost 1
low 1
lured 1
mad 1
made 1
madness 1
maintain 1
make 1
maugin 1
meanwhile 1
member 1
members 1
mentor 1
mire 3
mission 1
mists 1
monopoly 1
moorings 1
more 1
most 1
mother 2
mugbutt 2
murdered 1
mutinous 1
mutiny 1
mystical 1
named 1
new 1
no 1
not 2
of 26
off 1
old 2
on 4
one 2
open 3
option 1
other 1
out 2
over 3
overcome 1
overthrow 1
own 1
paid 1
phraxdust 6
pilot 3
plans 1
plentiful 1
polluted 1
pompolnius 3
power 1
precious 1
predicted 1
prepares 1
prestigious 1
previous 1
production 2
professor 3
protagonist 1
prove 2
quartermaster 1
quest 2
realises 1
rebuild 2
remaining 1
repairing 1
repay 1
rest 1
result 1
retrieve 1
retrieves 1
return 2
reunites 1
revealed 3
rivalry 1
rock 1
romantic 1
run 1
running 1
sacred 2
safe 2
sail 1
sanctaphrax 3
sanity 1
save 1
saving 1
screed 7
secret 3
selfish 1
set 2
ship 9
shipwreck 1
shryke 1
sky 5
slyvo 1
small 1
smuggled 1
some 1
source 1
special 1
speck 1
spiker 1
spleethe 3
stays 1
stone 2
stope 1
storm 4
stormchaser 3
stormchasing 1
stormphrax 8
story 1
struck 1
substance 1
success 1
successfully 1
supplies 2
supply 1
survive 1
sylo 1
take 1
tem 1
termagent 1
than 1
that 2
the 63
their 2
then 1
they 7
this 3
though 1
threatening 1
through 1
time 1
to 26
toenails 1
toetaker 1
travel 1
treacherous 1
treasury 1
trekked 1
tries 1
trog 1
trogs 1
turns 1
twig 10
twilight 5
two 2
undertown 3
undertowners 1
undrinkable 1
unfortunate 1
until 1
unturned 2
ventured 1
victims 1
vilnix 4
voyage 1
was 2
water 1
way 1
we 1
wear 1
were 2
when 1
where 1
which 3
while 1
who 4
willingly 1
windcutter 1
wishes 1
with 8
without 1
wolf 9
woodbugs 1
woods 5
worse 1
would 1
years 1
