30442087
/m/0g5rm33
/m/0g5rm33
Aidan Chambers
2005
{"/m/03mfnf": "Young adult literature"}
800 1
a 2
also 1
and 3
are 1
be 1
book 4
boy 1
came 1
character 1
cordelia 2
culture 1
daughter 2
during 1
experiences 1
for 2
friendships 1
from 3
gets 1
heian 1
her 7
how 1
immortal 1
important 1
in 1
inspiration 1
inspired 1
izumi 1
japan 1
julie 1
kenn 1
made 1
named 1
of 1
pages 1
pillow 3
poetry 3
relationship 1
romantic 1
sei 1
she 1
shikibu 1
shonagon 1
speaking 1
special 1
teacher 1
teenage 1
teenager 1
the 3
throughout 1
to 2
trees 1
unborn 1
was 1
which 1
will 1
with 1
writes 1
written 1
years 1
you 1
