2327717
/m/074208
/m/074208
Terry Brooks
2000-09-05
130 1
a 5
ago 1
airship 1
airships 1
allies 1
an 1
ancient 1
and 6
another 1
are 1
as 4
at 2
be 1
beautiful 1
been 1
begins 1
blue 1
boh 1
book 1
brooks 1
but 2
by 2
can 1
chosen 1
company 1
covered 1
dark 1
described 1
divide 1
druid 1
elessedil 1
elven 1
era 1
events 1
expedition 1
face 1
federation 1
find 1
first 2
floating 1
fly 1
follows 1
for 1
found 2
freeborn 1
from 1
futuristic 1
has 1
her 2
heritage 1
him 1
himself 1
ilse 2
in 5
including 1
into 1
is 5
it 3
jerle 1
kael 2
lasers 1
last 1
later 1
leads 1
led 1
legendary 1
magic 4
man 1
map 2
marked 1
most 1
must 2
mysterious 1
new 1
nothing 1
of 7
old 1
only 1
organized 1
possess 1
powerful 1
practiced 1
prince 1
pursue 1
quest 1
read 1
robots 1
saga 1
said 1
sea 1
search 1
series 1
shannara 3
she 1
since 1
sleek 1
still 1
stop 2
story 1
surviving 1
swift 1
symbols 1
technology 1
terrors 1
that 1
the 26
them 1
there 1
thirty 2
this 1
thus 1
time 1
to 4
twisted 1
unknown 1
use 1
voyage 1
walker 5
war 1
was 2
well 1
which 1
while 1
who 2
will 1
witch 2
with 2
woman 1
world 2
years 3
young 1
