5144014
/m/0d4t58
/m/0d4t58
Andy Lane

30th 1
a 4
about 1
adjucator 2
agree 1
alien 1
also 1
and 8
are 1
arrest 1
arrested 1
been 1
behind 1
benny 1
body 2
brain 1
by 2
century 1
charges 1
chris 2
collaborator 1
consciousness 1
corrupt 1
crystal 1
cutting 1
cwej 1
cybermen 1
death 1
discovers 1
doctor 5
earth 3
electromatics 1
empire 1
eventually 1
face 1
find 1
food 1
for 2
former 1
forrester 1
framed 1
from 1
gain 1
has 1
he 2
head 1
her 1
him 1
his 4
history 1
in 6
information 1
installs 1
international 1
into 1
invasion 1
is 1
it 1
just 1
land 1
late 1
later 1
machine 1
manages 1
manipulating 1
memories 1
mind 1
missing 1
more 1
murder 1
new 1
none 1
now 1
of 1
off 1
officials 1
on 1
order 2
other 1
out 1
partnersquire 1
person 1
prior 1
rather 1
removes 1
responsible 1
robot 1
roz 2
secret 1
ship 1
since 1
space 1
supporting 1
tardis 1
than 2
that 1
the 13
then 1
they 1
time 1
to 7
tobias 1
transferred 1
transferring 1
trap 2
travel 2
trumpedup 1
vaughn 4
with 2
