2751886
/m/080rvy
/m/080rvy
Jack Kerouac

a 11
alchemical 1
all 2
along 1
also 3
although 1
amazed 1
an 4
ancient 1
and 5
any 1
appears 1
as 2
at 1
atop 1
attempting 1
awakened 1
awakening 1
awakens 2
based 1
be 1
beak 1
because 1
become 1
begins 1
believe 1
bird 2
black 3
blue 1
browns 1
burst 1
but 2
by 2
called 2
calls 1
came 1
cape 1
castle 2
causes 1
character 1
childhood 3
colored 1
concoct 1
conducts 1
costume 1
counterpart 1
damage 1
damned 1
dark 2
defeated 1
derisively 1
destroy 2
devour 1
discards 1
disease 1
disposes 1
do 1
doctor 2
doves 2
dovists 1
dracut 1
dream 2
duluoz 1
enormous 1
entire 1
eponymous 1
events 1
evil 1
experiments 1
fails 1
fantasies 2
fantasy 1
figure 1
finally 1
finds 1
flies 1
forest 1
friendly 1
from 3
gather 1
gnomes 1
great 2
green 2
grey 1
hat 1
haunting 1
have 1
he 3
heartbreakingly 1
hill 2
himself 2
his 6
home 1
husk 1
ill 1
in 8
inextricable 1
inky 1
intention 1
into 1
is 4
it 5
its 2
jackie 3
kerouac 2
lace 1
laugh 1
leading 1
lives 1
lost 1
lowell 3
magicians 1
man 1
mansion 1
massachusetts 1
memories 1
merely 1
minority 1
misty 1
monsters 1
mossy 1
muse 1
muted 1
myth 1
neighboring 1
night 3
nightsoil 1
novel 1
of 12
on 3
open 1
ordinary 1
over 1
own 1
paradise 1
part 1
pertain 1
potion 3
prepares 1
present 1
prompted 1
recollects 1
relating 1
releasing 1
road 1
sal 1
sax 5
seems 1
seizing 1
sepia 1
shadowy 1
shrouded 2
skin 1
sky 1
sleeps 1
slouch 1
small 1
snake 11
so 1
story 2
suddenly 1
that 4
the 31
them 1
this 2
thousands 1
to 9
told 1
tones 1
town 2
turn 1
ultimately 1
underneath 1
unfold 1
universe 1
until 2
upward 1
uses 1
vampires 1
vanishes 1
various 2
view 1
visagus 1
warm 1
watches 1
werewolves 1
when 3
where 1
which 2
white 1
who 1
will 2
with 4
world 6
