5052307
/m/0d0m1b
/m/0d0m1b
Leon Uris

{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 1
about 1
alleged 1
also 1
america 1
american 1
an 1
and 5
andre 1
are 1
asylum 1
between 1
book 1
both 1
but 2
characters 1
cold 1
concerns 1
connections 1
continues 1
cuba 2
devereaux 2
evidence 1
exposes 1
fast 1
fight 1
french 4
friends 1
get 1
goes 1
has 1
he 3
help 1
himself 1
his 1
in 3
infiltrations 1
information 1
intelligence 3
into 1
is 1
it 1
links 1
main 1
michael 1
missiles 1
mole 1
nordstorm 2
of 5
out 1
plot 1
president 1
reveals 1
ring 1
russian 1
seeking 1
soviet 3
speaks 1
spy 1
story 1
targeted 1
the 9
this 1
to 3
ultimately 1
union 1
warera 1
way 1
when 1
with 3
