6201194
/m/0fwh0k
/m/0fwh0k
Len Deighton

{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 3
after 2
again 1
all 1
allies 1
america 1
an 3
and 4
arrest 1
as 2
at 1
before 1
begins 1
bernard 6
book 1
brett 1
but 1
by 2
called 1
colleague 1
concludes 1
confronts 1
death 1
deepcover 1
deeper 1
died 1
digging 1
director 1
disappearing 1
discussed 1
dodo 1
end 1
europe 1
evades 1
events 1
evidence 1
explanation 1
exsis 1
fact 1
first 1
for 1
frank 1
friend 1
from 2
funds 1
general 1
gone 1
harrington 1
has 2
he 1
hinted 1
his 4
in 7
indeed 1
interest 1
into 1
investigation 2
is 5
it 2
jim 1
losing 1
man 1
missing 1
mugging 1
murdered 1
named 1
night 1
not 1
novel 2
of 3
old 1
once 1
orders 1
out 1
part 1
prettyman 3
quick 1
regarding 1
rehabilitation 1
returns 1
revealed 1
sampson 1
saved 1
seeking 1
sent 1
some 2
soon 1
start 1
surprise 1
takes 1
thanks 1
that 1
the 8
then 1
thinking 1
this 1
to 4
trilogy 1
turn 1
turns 1
under 1
untimely 1
visiting 1
volkmann 1
washington 1
werner 1
where 2
which 1
while 1
who 2
with 2
