6963561
/m/0gz0kv
/m/0gz0kv
David Morrell
1972
35 1
a 15
actions 1
affection 1
against 1
and 17
another 1
are 2
arrest 1
arrests 1
as 3
at 2
attempt 2
back 1
be 2
beating 1
because 1
becomes 1
began 1
begins 1
being 1
body 1
book 1
both 1
but 3
by 7
cells 1
chance 1
charged 1
chest 1
city 1
civilians 1
climactic 1
cold 1
colonel 1
come 1
comfortable 1
commit 1
conflict 1
continue 1
cops 1
cream 1
cut 1
days 2
death 1
deaths 1
decent 1
decides 1
desire 1
detonating 1
dies 2
disappointment 1
down 1
driven 1
drives 1
dropped 1
dying 2
dynamite 3
end 1
ending 1
escape 1
essentially 1
expectedbut 1
experiences 1
explosion 1
feels 2
fighting 1
fights 1
final 1
finally 2
fire 1
fires 1
fitting 1
flashback 1
flees 1
focus 1
following 1
for 2
forces 1
found 1
gives 1
guardsmen 1
had 2
hair 1
has 2
having 1
he 15
head 1
hides 1
hiking 1
him 6
himself 1
his 9
hitch 1
hits 1
honourable 1
how 1
however 1
hunted 1
in 11
inside 1
is 6
it 1
jail 1
justify 1
kentucky 1
killed 2
knowledge 1
light 1
limits 1
local 1
madison 1
makes 1
man 1
manages 1
manhunt 1
many 1
men 1
missed 1
moment 2
more 1
motorcycle 1
mountains 1
national 1
nearby 1
not 1
now 1
of 7
off 2
officers 1
on 1
one 1
out 1
picked 1
placed 1
point 1
police 1
pow 1
prepares 1
pride 1
pursue 1
rambo 11
razor 1
reflects 1
relaxes 1
repeatedly 1
resisting 1
results 1
return 2
returns 2
sam 1
satisfied 1
sees 1
sentenced 1
shave 1
shaving 1
sheriff 1
shoots 1
shot 1
shotgun 1
slashing 1
small 1
special 1
spot 1
station 1
steals 1
stick 1
stomach 2
straight 1
suddenly 1
suicide 1
surprise 2
teasle 10
tells 1
that 4
the 19
their 1
then 4
they 1
this 1
to 13
too 1
town 2
trail 1
trapped 1
trautman 2
tries 1
up 1
using 1
vagrancy 1
veteran 1
vietnam 2
war 1
was 1
weak 1
wet 1
when 1
where 2
with 5
without 1
would 1
wounded 1
