10819480
/m/02qr16b
/m/02qr16b
Ross Macdonald

a 1
academy 1
action 1
america 1
american 1
and 4
angeles 1
archer 1
around 1
as 2
avoid 1
background 1
beyond 1
book 1
boyfriend 1
brief 1
by 1
california 1
canvassing 1
cash 1
casino 1
central 1
cervantes 1
clinics 1
clubs 1
convoluted 1
cultures 1
economies 1
edges 1
environs 1
europe 1
except 1
extend 1
fablon 1
felix 1
for 1
forays 1
from 1
her 2
hires 1
homeless 1
homes 1
hotels 1
however 1
husband 1
implications 1
in 2
inamorata 1
inextricably 1
inquiries 1
into 1
investigate 1
is 1
jilted 1
las 1
levels 1
lew 1
life 1
los 1
luxurious 1
macdonald 1
montevista 1
novels 1
of 5
one 1
operators 1
other 1
place 1
plot 1
presently 1
private 1
reach 1
reader 1
refers 1
resulting 1
seedy 1
seen 1
sees 1
skimmed 1
society 1
story 1
take 1
takes 1
taxesand 1
the 14
through 1
tied 1
title 1
to 6
typically 1
vegasthe 1
virginia 1
wealthy 2
whose 1
