25640080
/m/09v8sz8
/m/09v8sz8
Lois Lenski
1941
a 3
adopt 1
all 1
an 4
and 9
are 1
as 3
at 1
be 2
bear 1
beautiful 1
because 1
befriends 1
book 1
both 1
bought 1
brother 1
by 2
call 1
captain 1
captive 1
captives 1
choice 1
chooses 1
corn 2
courage 1
cross 1
died 1
duquesne 1
earning 1
end 1
english 1
family 2
farm 1
food 1
for 1
fort 1
french 1
from 1
full 1
get 1
girl 1
go 1
grandfather 1
great 1
had 1
hair 1
happy 1
has 1
have 1
her 10
him 1
home 2
hunter 1
in 2
indian 5
indians 1
is 4
jemison 1
kind 2
learns 2
little 2
lives 1
living 1
mary 1
molly 1
morning 1
name 1
of 4
old 1
on 1
one 1
only 1
or 1
other 1
pain 1
pennsylvania 2
place 1
raid 1
reminds 1
replace 1
seneca 2
separate 1
shagbark 1
she 7
shining 1
silently 1
sister 1
sisters 1
soft 1
speak 1
squirrel 1
star 1
stay 2
stern 1
take 1
taken 1
tassel 2
the 7
their 2
them 2
there 2
they 2
to 11
training 1
turtle 1
two 2
until 1
want 1
white 1
who 5
wise 1
with 3
woman 3
women 1
work 1
would 1
yellow 1
young 1
