16001986
/m/03qkgqc
/m/03qkgqc
Sally Nicholls
2008-01-07
{"/m/0dwly": "Children's literature"}
2010 1
a 9
about 4
all 3
also 1
an 1
and 13
are 1
as 3
asleep 1
at 1
back 1
becomes 1
been 1
being 1
book 6
break 1
but 3
by 2
called 1
cancer 1
child 1
club 1
comment 1
conduct 1
could 1
couple 1
dad 2
dads 1
death 1
decides 1
decision 1
devastated 1
died 1
dies 3
do 3
doctors 1
dream 1
drifts 1
during 2
education 1
elevenyearold 1
ella 1
everyone 1
experiments 1
face 1
family 2
favourite 1
felix 7
fighter 1
fill 1
film 1
finish 1
finishes 1
for 1
form 1
friend 1
funeral 2
given 1
go 1
happens 1
happy 1
has 2
have 2
having 1
he 9
hell 1
help 1
his 22
hospital 1
however 1
i 2
ill 4
in 10
including 1
into 1
is 4
isnt 1
jokes 1
known 1
last 1
later 2
leaves 1
leukaemia 1
life 2
list 1
lists 1
love 1
made 2
make 1
makes 2
making 1
mcqueen 1
medication 2
month 1
mother 1
mum 1
night 1
no 2
numerous 1
of 5
oliver 1
one 2
opposite 1
pain 1
parents 1
puzzled 1
questions 1
quietly 1
realize 1
records 1
remember 1
sadness 1
said 1
sam 12
says 2
scenario 1
section 1
sees 1
sessions 1
should 2
sister 1
sleep 2
sleeping 1
smallest 1
so 1
special 1
stop 1
stranger 1
sure 1
surprises 1
take 1
talks 1
teacher 1
terminally 1
that 3
the 12
then 1
they 1
things 4
this 3
to 7
together 1
told 1
top 1
turn 1
up 1
various 1
wakes 1
want 1
wanted 1
was 3
weeks 1
well 1
when 1
while 1
who 3
with 3
working 1
world 2
worn 1
worse 1
would 1
write 1
writes 1
you 1
