4616840
/m/0ccwb3
/m/0ccwb3
Margaret Weis
1985-09
a 1
abandoned 1
action 1
actions 1
all 1
also 1
an 1
ancient 1
and 17
ansalon 1
as 1
at 2
autumn 1
balance 1
bargain 1
be 1
been 1
being 1
between 1
blood 1
both 1
but 1
by 3
calling 1
caramon 3
cataclysm 1
chose 1
city 2
coming 1
companions 1
cursed 1
denizens 1
dragons 2
end 1
epilogue 2
erak 1
escap 1
escue 1
eunite 1
evil 3
exiting 1
explains 1
first 1
fistandantilus 1
fizban 4
for 1
foretold 1
genera 1
god 1
golden 1
good 2
great 1
guards 1
haos 1
has 2
he 6
helped 1
heroes 1
high 1
him 1
himself 2
his 3
home 1
in 5
inn 1
into 3
is 4
kalaman 1
kenderhome 1
laurana 2
library 1
life 1
made 1
man 1
master 2
meet 1
missio 1
ndings 1
neighborhood 1
new 1
not 1
now 1
of 7
old 1
on 1
ook 2
out 1
paladine 1
palanthas 1
past 2
points 1
possessed 1
presen 1
present 1
proclaims 1
raistiln 1
raistlin 3
really 1
recognized 1
recognizes 1
remain 1
restored 1
reveals 1
se 1
separate 1
settles 1
since 1
solace 1
sorcery 1
spectral 1
spirit 1
spurred 1
tanis 3
tasslehoff 2
tell 1
that 5
the 20
them 1
then 1
tika 2
times 1
to 9
tower 2
tra 1
travel 3
travels 1
twilight 1
unoccupied 1
up 1
was 1
who 3
whose 1
will 1
with 2
wizard 1
