4458075
/m/0c3jsn
/m/0c3jsn

1908-10-15
{"/m/05hgj": "Novel"}
a 18
about 1
affections 1
after 1
all 1
although 1
an 2
and 8
anything 1
as 6
assigned 1
at 1
attractive 1
aunt 6
authors 1
beau 1
became 1
before 1
bombshell 1
book 1
boys 1
brother 1
but 4
by 4
careening 1
catastrophe 1
chapter 4
character 2
charles 1
city 1
coeducational 1
college 2
comfortable 1
competitor 1
conception 1
concluding 1
contributor 1
contributors 1
cope 1
costume 1
couple 1
created 1
crewel 1
critics 1
dane 2
daughter 1
different 1
dismissed 1
distinctly 1
doesnt 1
doubts 1
dyke 1
e 1
each 1
editor 1
effort 1
eleven 1
elizabeth 5
engaged 1
engagement 1
england 1
europe 1
eventually 2
examine 1
explosion 1
family 2
fianc 1
fiancee 1
for 4
found 1
frank 1
freeman 4
from 2
gave 1
getting 1
go 1
goward 2
had 2
hair 1
halfhumorous 1
halfworried 1
harmless 2
harry 2
has 1
hat 1
hattitude 1
have 2
he 1
hearthstone 1
heavens 1
henry 1
her 4
his 1
honeymoon 1
household 1
howell 1
howells 4
i 1
icepitchers 1
immediately 1
impact 1
impetus 1
in 5
instead 1
intended 2
intention 1
into 2
introduced 1
introduces 1
introduction 1
is 3
it 2
items 1
jordan 2
just 1
knots 1
lady 2
later 2
least 1
letter 1
literary 1
lorraine 1
mad 1
made 1
maiden 1
man 1
many 1
marries 1
mary 1
mate 1
member 1
middleclass 1
mind 1
more 1
mr 1
mundane 1
my 1
named 2
narrative 1
never 1
new 2
next 1
noticed 1
novel 2
of 10
off 3
old 3
older 1
oldmaid 1
on 2
opening 1
other 1
our 1
out 2
over 1
part 1
particularly 1
pedestrian 1
peggy 7
pink 1
pointed 1
poor 1
professor 1
project 1
proprietors 1
put 1
quiet 1
rather 2
reacted 1
recoiled 1
red 1
reimagination 1
respectable 1
rest 1
returned 1
sails 1
say 1
second 1
sent 2
sexual 1
sexuality 1
sexually 1
she 1
silverplate 1
some 1
somehow 1
spicy 1
spinster 3
stillman 1
subsequent 3
such 1
suitable 1
suitor 1
talbert 4
that 3
the 22
their 1
think 1
this 2
thought 1
to 6
tour 1
trajectory 1
turns 2
twists 1
van 1
very 1
vibrant 1
was 2
weak 1
what 2
who 3
wife 1
wilkins 1
will 1
with 4
woman 1
work 2
works 1
world 1
would 4
write 1
writers 2
wrote 1
york 1
young 1
